id,progress_value,reward
1,1000,1:2:100|5:2000010:40
2,2000,1:2:100|5:2000011:40
3,5000,1:2:150|5:3000113:2
4,7500,1:2:150|5:3000114:1
5,10000,1:2:200|5:3000049:5
6,12500,1:2:200|5:2000007:5
7,15000,1:2:250|5:3000115:1
8,17500,1:2:250|5:6000001:5
9,20000,1:2:300|5:3000049:5
10,22500,1:2:300|5:2000011:40
11,25000,1:2:350|5:6000001:5
12,27500,1:2:350|5:1000040:10
13,30000,1:2:400|5:3000027:5
14,32500,1:2:400|5:1000008:10
15,35000,1:2:450|5:6000001:10
16,37500,1:2:450|5:3000064:10
17,40000,1:2:500|5:3000027:5
18,42500,1:2:500|5:1000008:10
19,45000,1:2:550|5:1000041:10
20,50000,1:2:550|5:3000027:5
21,60000,1:2:600|5:6000003:1
22,70000,1:2:700|5:3000027:10
23,80000,1:2:800|5:1000013:1
24,90000,1:2:900|5:3000027:10
25,100000,1:2:1000|5:6000004:1
