gift_id,buy_all,is_free,charge_cfg_id,old_price,reward
1,0,1,1,$4.99,5:3000049:1|1:2:100
2,0,0,148101,$9.99,5:3000049:3|5:3000006:300|10:60
3,0,1,1,$9.99,5:3000005:10|1:2:300
4,0,0,148102,$24.99,5:3000049:10|1:2:500|10:300
5,0,1,1,$24.99,5:2000011:40|5:2000010:50
6,0,0,148103,$49.99,5:3000049:15|5:3000006:500|10:600
7,0,1,1,$29.99,5:6000001:20|5:2000007:2
8,0,0,148104,$69.99,5:3000049:25|1:2:1000|10:1200
9,0,1,1,$49.99,5:1000013:1|5:1000008:10
10,0,0,148105,$99.99,5:3000027:25|5:3000006:1000|10:1800
11,0,1,1,$24.99,5:3000049:10|5:2000008:2
12,0,0,148106,$199.99,5:3000031:1|1:2:1000|10:3000
13,0,1,1,$49.99,5:3000027:10|5:3000006:1000
100,1,0,148107,$115.94,
