id,place_id,num_id,condition,reward_str
1001,1,1,20,1:1:50000
1002,1,2,30,1:14:10000
1003,1,3,50,5:3000006:100
2001,2,1,20,1:1:100000
2002,2,2,30,1:14:50000
2003,2,3,50,5:3000006:500
6001,6,1,20,1:1:100000
6002,6,2,30,1:14:50000
6003,6,3,50,5:3000006:500
7001,7,1,20,5:3000007:20
7002,7,2,30,5:3000008:20
7003,7,3,50,5:3000006:1000
7004,7,4,50,5:1000010:3
7005,7,5,50,5:3000011:5
11001,11,1,20,5:3000007:20
11002,11,2,30,5:3000008:20
11003,11,3,50,5:3000006:1000
11004,11,4,50,5:1000010:3
11005,11,5,50,5:3000011:5
500001,500,1,20,5:3000007:20
500002,500,2,30,5:3000008:20
500003,500,3,50,5:3000006:1000
500004,500,4,50,5:1000010:3
500005,500,5,50,5:3000011:5
