id,hero_cid,level,skin_cid,awake,if_advance,god_awake,if_super,super_awake,if_mr,mr_awake,if_incarnation,incarnation_awake,use_super_skills,fight_value,max_hp,max_mp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
1,2037,400,102037388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,13992434688,339117044,8300,56486664,71616215,6747162,2667162,5220348,6455117,1281198,390215,5923274,2966752,0,0,2370,750,2300,3550,3550,450,0,300,3039
2,2039,400,102039388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,6666420224,406366194,8300,61470523,78506337,11282865,2489351,7325519,8178304,1340302,409673,3649677,3215379,0,0,920,360,2300,3550,3550,1150,0,300,2926
3,2047,400,102047388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,5098719744,400990050,8300,47255960,60087013,6528968,2489351,8067802,8065072,1281196,471182,4868903,3072702,0,0,1720,570,2300,3550,3550,550,0,300,3272
4,2049,400,102049388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,10007302144,405071222,8300,67517221,86010055,6872598,2667162,6214510,5930450,1541626,390243,5400998,2966947,0,0,2345,520,2300,3550,3550,450,0,300,3017
5,2050,400,102050388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,4994798592,837942512,8300,36096948,45898081,6528968,2489351,6881359,7353448,1281196,471182,3745310,3072702,0,0,920,450,2300,3550,3550,450,0,300,3122
6,2051,400,102051388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,3902940672,834012417,8300,26698790,34011167,6020901,2489351,7705670,5930204,1340456,390214,3637993,2966749,0,0,1520,670,2300,3550,3550,450,325,900,2937
7,2053,400,102053388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,8072828416,257526491,8300,72659278,92560365,5326262,2667162,7954524,7828147,1541611,390239,5575170,2966919,0,0,3530,500,2675,3550,3550,450,0,300,3045
8,2054,400,102054388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,3646258432,517407375,8300,34328620,43521215,6191662,2489351,7354612,8217255,1280830,390092,3483235,3071817,0,0,995,300,2425,3700,3700,550,0,300,2910
9,2055,400,102055388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,2951811840,655810337,8300,22673775,28746234,8818427,2489351,9728119,8227900,1281049,390165,3483857,3072348,0,0,920,300,2300,3550,3550,450,0,300,3132
10,2056,400,102056368,5,1,5,1,5,1,5,0,0,66661101|66662101|66663101|66664101|66665401,6511049728,202744182,8300,60009241,75370536,6528968,2667162,6824778,6524950,1411086,354648,3977447,2714978,0,0,1345,570,2675,3550,3550,450,0,300,2766
11,2057,400,102057368,5,1,5,1,5,1,5,0,0,66661101|66662101|66663101|66664101|66665401,5332286464,215365468,8300,44508972,55802182,6528968,2667162,6050465,6524950,1173174,428236,3730343,2714978,0,0,5205,550,2675,3550,3550,450,0,300,2766
12,2060,400,102060388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,11365140480,357925130,8300,69157569,87680852,5653027,2667162,7593205,7377250,1281190,390212,4703747,2966734,0,0,1770,750,2300,3550,3550,450,0,300,3225
13,2063,400,102063388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,4780722688,710307190,8300,41793794,53377998,6379288,2489351,7570546,8724497,1340535,409751,3650336,3215943,0,0,920,300,2300,3550,3550,1250,0,300,3104
14,2065,400,102065388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,7437801472,339021372,8300,66117313,83826063,7476584,2667162,7355846,7146640,1281171,390206,3637915,2966688,0,0,2345,600,2300,3550,3550,450,0,300,2941
15,2067,400,102067388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,11082041344,269636111,8300,59996776,76288059,5326262,2667162,6390091,7116526,1281277,471215,8694641,2966937,0,0,2545,600,2300,3550,3550,450,0,300,3008
