task_id,round,condition,reward,content
1,1,5,5:3000147:15|5:3000146:10,Smelt {0} times
2,1,20,5:3000147:15|5:3000146:10,Smelt {0} times
3,1,40,5:3000147:15|5:3000146:10,Smelt {0} times
4,1,70,5:3000147:30|5:3000146:15,Smelt {0} times
5,1,110,5:3000147:35|5:3000146:15,Smelt {0} times
6,2,150,5:3000147:35|5:3000140:1,Smelt {0} times
7,2,190,5:3000147:35|5:3000140:1,Smelt {0} times
8,2,230,5:3000147:35|5:3000140:1,Smelt {0} times
9,2,280,5:3000147:35|5:3000140:1,Smelt {0} times
10,2,330,5:3000147:35|5:3000140:1,Smelt {0} times
11,3,390,5:3000147:50|5:3000140:2,Smelt {0} times
12,3,450,5:3000147:50|5:3000140:2,Smelt {0} times
13,3,510,5:3000147:50|5:3000140:2,Smelt {0} times
14,3,600,5:3000147:60|5:3000140:2,Smelt {0} times
15,3,690,5:3000147:60|5:3000140:2,Smelt {0} times
16,4,780,5:3000147:60|5:3000140:3,Smelt {0} times
17,4,900,5:3000147:75|5:3000140:3,Smelt {0} times
18,4,1020,5:3000147:75|5:3000140:3,Smelt {0} times
19,4,1140,5:3000147:75|5:3000140:3,Smelt {0} times
20,4,1260,5:3000147:75|5:3000140:3,Smelt {0} times
21,5,1410,5:3000147:90|5:3000140:5,Smelt {0} times
22,5,1560,5:3000147:90|5:3000140:5,Smelt {0} times
23,5,1710,5:3000147:90|5:3000140:5,Smelt {0} times
24,5,1860,5:3000147:90|5:3000140:5,Smelt {0} times
25,5,2010,5:3000147:90|5:3000140:5,Smelt {0} times
26,5,2160,5:3000147:90|5:3000140:5,Smelt {0} times
27,5,2310,5:3000147:90|5:3000140:5,Smelt {0} times
28,5,2460,5:3000147:90|5:3000140:5,Smelt {0} times
29,6,2610,5:3000147:90|5:3000140:5,Smelt {0} times
30,6,2760,5:3000147:90|5:3000140:10,Smelt {0} times
31,6,2910,5:3000147:90|5:3000140:10,Smelt {0} times
32,6,3060,5:3000147:90|5:3000140:10,Smelt {0} times
33,6,3210,5:3000147:90|5:3000140:10,Smelt {0} times
34,6,3360,5:3000147:90|5:3000140:10,Smelt {0} times
35,6,3510,5:3000147:90|5:3000140:10,Smelt {0} times
36,6,3660,5:3000147:90|5:3000140:10,Smelt {0} times
