task_id,task_type,task_group,task_index,task_id_before,task_condition,task_value,reward,content,content_param,link
62000001,38,0,0,0,80001,10,5:3000230:1,Deals 10% DMG to Boss for the challenge,Deals 10% DMG to Boss for the challenge,
62000002,38,0,0,0,80001,20,5:3000230:1,Deals 20% DMG to Boss for the challenge,Deals 20% DMG to Boss for the challenge,
62000003,38,0,0,0,80001,30,5:3000230:1,Deals 30% DMG to Boss for the challenge,Deals 30% DMG to Boss for the challenge,
62000004,38,0,0,0,80001,40,5:3000230:1,Deals 40% DMG to Boss for the challenge,Deals 40% DMG to Boss for the challenge,
62000005,38,0,0,0,80001,50,5:3000230:1,Deals 50% DMG to Boss for the challenge,Deals 50% DMG to Boss for the challenge,
62000006,38,0,0,0,80001,60,5:3000230:1,Deals 60% DMG to Boss for the challenge,Deals 60% DMG to Boss for the challenge,
62000007,38,0,0,0,80001,70,5:3000230:1,Deals 70% DMG to Boss for the challenge,Deals 70% DMG to Boss for the challenge,
62000008,38,0,0,0,80001,80,5:3000230:1,Deals 80% DMG to Boss for the challenge,Deals 80% DMG to Boss for the challenge,
62000009,38,0,0,0,80001,90,5:3000230:1,Deals 90% DMG to Boss for the challenge,Deals 90% DMG to Boss for the challenge,
62000010,38,0,0,0,80001,100,5:3000230:1,Deals 100% DMG to Boss for the challenge,Deals 100% DMG to Boss for the challenge,
