id,cid,level,skin_cid,awake,if_advance,god_awake,if_super,super_awake,super_skill_plan,fight_value,max_hp,max_mp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
1,2037,400,102037300,5,1,5,1,5,153601001|66662101|66664101|66665401,420957664,40109635,8300,5349459,7207924,738649,430369,1101155,1432073,464234,120746,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
2,2039,400,102039300,5,1,5,1,5,153801001|66662101|66664101|66665401,459783072,42200472,8300,4339883,6047314,756179,430369,1211013,1312990,464126,120746,0,0,0,0,0,0,4000,4000,4000,600,0,300,2450
3,2042,400,102042200,5,1,5,0,0,154601001|154602001,383030880,41042360,8300,4141655,5575706,738649,430369,1100009,1091082,463705,120606,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
4,2047,400,102047301,5,1,5,1,5,154801001|154802001|66662101|66664101|66665401,454412352,44665688,8300,4611294,6209255,710239,430369,1431045,1419440,464072,120782,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
5,2049,400,102049300,5,1,5,1,5,154901001|66662101|66664101|66665401,486477152,60908029,8300,5461015,7370600,695010,430369,1502901,1364993,464234,120746,0,0,0,0,0,0,4000,4000,4000,600,0,300,2450
6,2050,400,102050300,5,1,5,1,5,155001001|155002001|66662101|66664101|66665401,423845536,64100084,8300,4339518,5843001,710239,430369,1502901,1364993,464126,120746,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
7,2051,400,102051300,5,1,5,1,5,155201001|66662101|66664101|66665401,417232128,62808556,8300,3536076,4772437,710239,430369,1502901,1364993,463705,120606,0,0,0,0,0,0,4000,4000,4000,600,0,300,2450
8,2053,400,102053300,5,1,5,1,5,155301001|155302001|66662101|66664101|66665401,454402560,41173986,8300,4624269,6241241,625010,430369,1502901,1364993,464072,120782,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
9,2054,400,102054300,5,1,5,1,5,155401001|155402001|66662101|66664101|66665401,383231456,40410296,8300,4110052,5537036,738649,430369,1502901,1364993,464234,120746,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
10,2055,400,102055300,5,1,5,1,5,155501001|155502001|66662101|66664101|66665401,330510752,62085155,8300,2880162,3880764,909107,430369,1706428,1491743,464126,120746,0,0,0,0,0,0,4000,4000,4000,600,0,300,2450
11,2056,400,102056300,5,1,5,1,5,155601001|155602001|66662101|66664101|66665401,511043968,33424697,8300,5915824,7983910,738649,430369,1502901,1364993,463705,120606,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
12,2057,400,102057300,5,1,5,1,5,155901001|155902001|66662101|66664101|66665401,463026496,35746684,8300,4314054,5808766,710239,430369,1502901,1364993,464072,120782,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
13,2063,400,102063300,5,1,5,1,5,156201001|66662101|66664101|66665401,404247387,57107320,8300,3690407,4972818,756179,430369,1502901,1364993,464234,120746,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
14,2060,400,102060200,5,1,5,1,5,156401001|156402001|156403001|66662101|66664101|66665401,489017520,43039732,8300,5415341,7296984,710239,430369,1502901,1364993,464126,120746,0,0,0,0,0,0,4000,4000,4000,600,0,300,2450
15,2067,400,102067300,5,1,5,1,5,156601001|156602001|66662101|66664101|66665401,423475168,38077590,8300,4348493,5855525,710239,430369,1502901,1364993,463705,120606,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
16,2068,400,102068200,5,1,5,1,5,156701001|156702001|66662101|66664101|66665401,432202552,30899155,8300,4518076,6305716,738649,430369,1502901,1364993,464072,120782,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
17,2065,400,102065300,5,1,5,1,5,156801001|156802001|66662101|66664101|66665401,424238168,37623110,8300,5040635,6792042,756179,430369,1502901,1364993,464234,120746,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
18,2069,400,102069200,5,1,5,1,5,157101001|66662101|66664101|66665401,443824284,55408196,8300,4589797,6194349,738649,430369,1502901,1364993,464126,120746,0,0,0,0,0,0,4000,4000,4000,600,0,300,2450
19,2071,400,102071200,5,1,5,1,5,157301001|157302001|66662101|66664101|66665401,417442434,60587815,8300,4492910,6049643,710239,430369,1502901,1364993,464234,120746,0,0,0,0,0,0,4000,4000,4000,600,0,300,2450
20,2073,400,102073200,5,1,5,1,5,157401001|66662101|66664101|66665401,458215013,60769362,8300,4538410,6115106,695010,430369,1502901,1364993,464126,120746,0,0,0,0,0,0,4000,4000,4000,600,0,300,2450
21,2074,400,102074200,5,1,5,1,5,157501001|157502001|66662101|66664101|66665401,412858528,57445026,8300,3546050,4774687,710239,430369,1502901,1364993,463705,120606,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
22,2075,400,102075200,5,1,5,1,5,157601001|157602001|66662101|66664101|66665401,484645321,42896343,8300,4574486,6163727,710239,430369,1502901,1364993,464072,120782,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
23,2076,400,102076200,5,1,5,1,5,157701001|157702001|66662101|66664101|66665401,424238168,37623110,8300,5040635,6792042,756179,430369,1502901,1364993,464234,120746,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
24,2077,400,102077200,5,1,5,1,5,157801001|157802001|66662101|66664101|66665401,443824284,55408196,8300,4589797,6194349,738649,430369,1502901,1364993,464126,120746,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
25,2078,400,102078200,5,1,5,1,5,158101001|66662101|66664101|66665401,417442434,60587815,8300,4492910,6049643,710239,430369,1502901,1364993,464234,120746,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
26,2081,400,102081300,5,1,5,1,5,158201001|158202001|66662101|66664101|66665401,458215013,60769362,8300,4538410,6115106,695010,430369,1502901,1364993,464126,120746,0,0,0,0,0,0,4000,4000,4000,0,0,300,2450
27,2082,400,102082300,5,1,5,1,5,158301001|158302001|66662101|66664101|66665401,412858528,57445026,8300,3546050,4774687,710239,430369,1502901,1364993,463705,120606,0,0,0,0,0,0,4000,4000,4000,0,0,300,2450
28,2083,400,102083300,5,1,5,1,5,158401001|158402001|66662101|66664101|66665401,484645321,42896343,8300,4574486,6163727,710239,430369,1502901,1364993,464072,120782,9999999,0,0,0,0,0,4000,4000,4000,0,0,300,2450
