cfg_id,reward
60,5:3000222:1
120,5:3000222:1
180,5:3000222:1
240,5:3000222:1
360,5:3000222:2
480,5:3000222:2
600,5:3000222:2
720,5:3000222:2
840,5:3000222:2
960,5:3000222:2
1200,5:3000222:4
1440,5:3000222:4
1680,5:3000222:4
1920,5:3000222:4
2160,5:3000222:4
2400,5:3000222:4
2640,5:3000222:4
2880,5:3000222:4
3360,5:3000222:8
3840,5:3000222:8
4320,5:3000222:8
4800,5:3000222:8
5280,5:3000222:8
5760,5:3000222:8
6480,5:3000222:12
7680,5:3000222:20
8880,5:3000222:20
10080,5:3000222:20
11280,5:3000222:20
12480,5:3000222:20
13680,5:3000222:20
14880,5:3000222:20
17280,5:3000222:40
19680,5:3000222:40
22080,5:3000222:40
24480,5:3000222:40
26880,5:3000222:40
29280,5:3000222:40
31680,5:3000222:40
34080,5:3000222:40
36480,5:3000222:40
38880,5:3000222:40
41880,5:3000222:50
44880,5:3000222:50
47880,5:3000222:50
50880,5:3000222:50
53880,5:3000222:50
56880,5:3000222:50
