id,pool_id,random_num,weight,baodi_min,baodi_max
1,1,5,60,0,0
2,1,7,30,0,0
3,1,10,10,5,20
5,2,5,60,0,0
6,2,7,30,0,0
7,2,10,10,5,20
9,3,5,60,0,0
10,3,7,30,0,0
11,3,10,10,5,20
12,4,5,60,0,0
13,4,7,30,0,0
14,4,10,10,5,20
15,5,5,60,0,0
16,5,7,30,0,0
17,5,10,10,5,20
18,6,5,60,0,0
19,6,7,30,0,0
20,6,10,10,5,20
21,7,5,60,0,0
22,7,7,30,0,0
23,7,10,10,0,10
24,8,5,60,0,0
25,8,7,30,0,0
26,8,10,10,0,10
27,9,1,65,0,0
28,9,2,20,0,0
29,9,3,15,0,0
30,10,1,65,0,0
31,10,2,20,0,0
32,10,3,15,0,0
33,11,1,65,0,0
34,11,2,20,0,0
35,11,3,15,0,0
36,12,1,70,0,0
37,12,2,20,0,3
38,12,3,10,0,20
