npc_id,name,avatar_path,spine_name,role,job,level,skill_id_list,show_weekness_skill,fight_value,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed,boss_damage_add_ratio,npc_weekness,blood_bar_num,lose_hp,lose_hp_add_anger,restrain_npc_job,normal_attack_reduce_weekness,active_skill_reduce_weekness,mr_skill_reduce_weekness,incarnation_skill_reduce_weekness
100001,Clash God - Icarus,2049_CSHS.png,YKLS_CSHS,33,1,400,124801001|124802001|164801001|44445101,44446301,999999999,2000000000,1000000,1500000,999,999,999,999,9999999,999,999999999,999,0,0,0,0,999,999,999,3000,0,0,0,19,50,0,5000000,1,3,3,3,5,5
100002,Clash God - Icarus,2049_CSHS.png,YKLS_CSHS,33,1,400,124801001|124802001|164801001|44445101,44446301,999999999,5000000000,6000000,10000000,999,999,999,999,9999999,999,999999999,999,0,0,0,0,999,999,999,3000,0,0,0,19,60,0,9000000,1,3,3,3,5,5
100003,Clash God - Icarus,2049_CSHS.png,YKLS_CSHS,33,1,400,124801001|124802001|164801001|44445101,44446301,999999999,10000000000,40000000,50000000,9999,9999,9999,9999,9999999,9999,999999999,9999,0,400,0,0,9999,9999,9999,3000,0,0,0,19,70,0,20000000,1,3,3,3,5,5
100004,Clash God - Icarus,2049_CSHS.png,YKLS_CSHS,33,1,400,124801001|124802001|164801001|44445101,44446301,999999999,20000000000,500000000,1200000000,99999,9999,9999,9999,9999999,99999,999999999,99999,0,600,0,0,9999,9999,9999,3000,0,0,0,19,80,0,35000000,1,3,3,3,5,5
100005,Clash God - Icarus,2049_CSHS.png,YKLS_CSHS,33,1,400,124801001|124802001|164851001|44445101|44446701,44446301,999999999,9200000000000000000,500000000,1200000000,99999,99999999,9999,9999,9999999,99999,999999999,9999999,0,900,0,0,999999,999999,999999,3000,0,0,0,19,100,9200000,99999999999,1,3,3,3,5,5
100006,Clash God - Ra,2037_CSHS.png,R_CSHS,33,3,400,113601001|113602001|163601001|44445101,44446201,999999999,2000000000,1000000,1500000,999,999,999,999,9999999,999,999999999,999,0,0,0,0,999,999,999,3000,0,0,0,19,50,0,5000000,1,2,3,3,5,5
100007,Clash God - Ra,2037_CSHS.png,R_CSHS,33,3,400,113601001|113602001|163601001|44445101,44446201,999999999,5000000000,6000000,10000000,999,999,999,999,9999999,999,999999999,999,0,0,0,0,999,999,999,3000,0,0,0,19,60,0,9000000,1,2,3,3,5,5
100008,Clash God - Ra,2037_CSHS.png,R_CSHS,33,3,400,113601001|113602001|163601001|44445101,44446201,999999999,10000000000,40000000,50000000,9999,9999,9999,9999,9999999,9999,999999999,9999,0,400,0,0,9999,9999,9999,3000,0,0,0,19,70,0,20000000,1,2,3,3,5,5
100009,Clash God - Ra,2037_CSHS.png,R_CSHS,33,3,400,113601001|113602001|163601001|44445101,44446201,999999999,20000000000,500000000,1200000000,99999,9999,9999,9999,9999999,99999,999999999,99999,0,600,0,0,9999,9999,9999,3000,0,0,0,19,80,0,35000000,1,2,3,3,5,5
100010,Clash God - Ra,2037_CSHS.png,R_CSHS,33,3,400,113601001|113602001|163601001|44445101|44446701,44446201,999999999,9200000000000000000,500000000,1200000000,99999,99999999,9999,9999,9999999,99999,999999999,9999999,0,900,0,0,999999,999999,999999,3000,0,0,0,19,100,9200000,99999999999,1,2,3,3,5,5
100011,Clash God - Chaos,2050_CSHS.png,KES_CSHS,33,2,400,114901001|114903001|164911001|44445101,44446101,999999999,2000000000,1000000,1500000,999,999,999,999,9999999,999,999999999,999,0,0,0,0,999,999,999,3000,0,0,0,19,50,0,5000000,1,1,3,3,5,5
100012,Clash God - Chaos,2051_CSHS.png,KES_CSHS,33,2,400,114901001|114903001|164911001|44445101,44446101,999999999,5000000000,6000000,10000000,999,999,999,999,9999999,999,999999999,999,0,0,0,0,999,999,999,3000,0,0,0,19,60,0,9000000,1,1,3,3,5,5
