cfg_id,boss_id,rank_min,rank_max,reward
1,0,1,10,5:2000036:10|13:140001:1|18:4001:1
2,0,11,50,5:2000036:8|13:140001:1|18:4001:1
3,0,51,200,5:2000036:7|13:140001:1
4,0,201,500,5:2000036:5
5,0,501,1000,5:2000036:3
6,0,1001,99999,5:2000036:3
7,1,1,10,5:3000027:10|1:2:3000
8,1,11,50,5:3000027:8|1:2:2500
9,1,51,200,5:3000027:7|1:2:2000
10,1,201,500,5:3000027:5|1:2:1500
11,1,501,1000,5:3000027:3|1:2:1000
12,1,1001,99999,5:3000027:1|1:2:500
13,2,1,10,5:3000027:10|1:2:3000
14,2,11,50,5:3000027:8|1:2:2500
15,2,51,200,5:3000027:7|1:2:2000
16,2,201,500,5:3000027:5|1:2:1500
17,2,501,1000,5:3000027:3|1:2:1000
18,2,1001,99999,5:3000027:1|1:2:500
19,3,1,10,5:3000027:10|1:2:3000
20,3,11,50,5:3000027:8|1:2:2500
21,3,51,200,5:3000027:7|1:2:2000
22,3,201,500,5:3000027:5|1:2:1500
23,3,501,1000,5:3000027:3|1:2:1000
24,3,1001,99999,5:3000027:1|1:2:500
25,4,1,10,5:3000027:10|1:2:3000
26,4,11,50,5:3000027:8|1:2:2500
27,4,51,200,5:3000027:7|1:2:2000
28,4,201,500,5:3000027:5|1:2:1500
29,4,501,1000,5:3000027:3|1:2:1000
30,4,1001,99999,5:3000027:1|1:2:500
