id,boss_id,stage_id,damage_precent,reward
1,1,1,25,5:3000268:10
2,1,1,50,5:3000268:10
3,1,1,75,5:3000268:10
4,1,1,100,5:3000268:20
5,1,2,25,5:3000268:10
6,1,2,50,5:3000268:10
7,1,2,75,5:3000268:10
8,1,2,100,5:3000268:20
9,1,3,25,5:3000268:10
10,1,3,50,5:3000268:10
11,1,3,75,5:3000268:10
12,1,3,100,5:3000268:20
13,1,4,25,5:3000268:10
14,1,4,50,5:3000268:10
15,1,4,75,5:3000268:10
16,1,4,100,5:3000268:20
17,2,1,25,5:3000268:10
18,2,1,50,5:3000268:10
19,2,1,75,5:3000268:10
20,2,1,100,5:3000268:20
21,2,2,25,5:3000268:10
22,2,2,50,5:3000268:10
23,2,2,75,5:3000268:10
24,2,2,100,5:3000268:20
25,2,3,25,5:3000268:10
26,2,3,50,5:3000268:10
27,2,3,75,5:3000268:10
28,2,3,100,5:3000268:20
29,2,4,25,5:3000268:10
30,2,4,50,5:3000268:10
31,2,4,75,5:3000268:10
32,2,4,100,5:3000268:20
33,3,1,25,5:3000268:10
34,3,1,50,5:3000268:10
35,3,1,75,5:3000268:10
36,3,1,100,5:3000268:20
37,3,2,25,5:3000268:10
38,3,2,50,5:3000268:10
39,3,2,75,5:3000268:10
40,3,2,100,5:3000268:20
41,3,3,25,5:3000268:10
42,3,3,50,5:3000268:10
43,3,3,75,5:3000268:10
44,3,3,100,5:3000268:20
45,3,4,25,5:3000268:10
46,3,4,50,5:3000268:10
47,3,4,75,5:3000268:10
48,3,4,100,5:3000268:20
49,4,1,25,5:3000268:10
50,4,1,50,5:3000268:10
51,4,1,75,5:3000268:10
52,4,1,100,5:3000268:20
53,4,2,25,5:3000268:10
54,4,2,50,5:3000268:10
55,4,2,75,5:3000268:10
56,4,2,100,5:3000268:20
57,4,3,25,5:3000268:10
58,4,3,50,5:3000268:10
59,4,3,75,5:3000268:10
60,4,3,100,5:3000268:20
61,4,4,25,5:3000268:10
62,4,4,50,5:3000268:10
63,4,4,75,5:3000268:10
64,4,4,100,5:3000268:20
