npc_id,hero_cid,name,avatar_path,spine_name,role,quality,star,job,level,skill_id_list,fight_value,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
200019,2077,Thor,2077.png,SE_UR,17,7,5,2,300,127701001|127702001,999999999,900000000,100000,150000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200020,2039,Hera,2039.png,HL_UR_PLUS,17,7,5,3,300,123801001|123802001,999999999,1500000000,100000,150000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,500,0,0,0
200021,2050,Chaos,2050.png,KES_UR_PLUS,17,7,5,3,300,124901001,999999999,1500000000,100000,150000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,500,0,0,0
200022,2047,Cupid,2047.png,QBT_UR_PLUS,17,7,5,3,300,114601001|114602001,999999999,1500000000,100000,150000,999,999,999,999,9999999,0,9999,9999,0,850,0,0,999999,999999,999999,500,0,0,0
200023,2037,Ra,2037.png,R_UR_PLUS,17,7,5,3,300,113601001|113602001,999999999,1500000000,100000,150000,999,999,999,999,9999999,0,9999,9999,0,850,0,0,999999,999999,999999,500,0,0,0
200024,2049,Icarus,2049.png,YKLS_UR_PLUS,17,7,5,3,300,114801001|114802001,999999999,1500000000,100000,150000,999,999,999,999,9999999,0,9999,9999,0,850,0,0,999999,999999,999999,500,0,0,0
200025,2053,Himiko,2053.png,BMH_UR_PLUS,17,7,5,3,300,125201001|125202001|155201001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,500,0,0,0
200026,2051,Heimdall,2053.png,HMDE_UR_PLUS,17,7,5,3,300,125001001|125002001|155001001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,500,0,0,0
200027,2057,Storm Dragon,2057.png,LL_UR_PLUS,17,7,5,3,300,155602001|125601001|125602001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,500,0,0,0
200028,2056,Ember Dragon,2056.png,LH_UR_PLUS,17,7,5,3,300,155501001|155502001|125501001|125502001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,500,0,0,0
200029,2055,Frost Dragon,2055.png,LB_UR_PLUS,17,7,5,3,300,155401001|155402001|115401001|115402001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200030,2081,Horus,2081.png,HLS_UR_PLUS,17,7,5,3,300,158101001|118101001|118102001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200031,2063,Sim Cheong,2063.png,SQE_UR_PLUS,17,7,5,3,300,156201001|116201001|116202001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200032,2067,Chang'e,2067.png,CE_UR_PLUS,17,7,5,3,300,156601001|156602001|116601001|116602001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200033,2065,Gemini,2065.png,YWJ_UR_PLUS,17,7,5,3,300,156401001|156402001|116401001|116402001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200034,2060,Freyja,2060.png,FLY_UR_PLUS,17,7,5,3,300,155901001|155902001|115901001|115902001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200035,2082,Frigga,2082.png,FLJ_UR_PLUS,17,7,5,3,300,158201001|158202001|118201001|118202001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200036,2069,Athena,2069.png,YDN_UR_PLUS,17,7,5,3,300,156801001|116801001|116802001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200037,2068,Asura,2068.png,AXL_UR_PLUS,17,7,5,3,300,156701001|156702001|116701001|116702001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200038,2071,Capricornus,2071.png,MJZ_UR_PLUS,17,7,5,3,300,117101001|117102001,999999999,3000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200039,2075,Zeus,2075.png,ZS_UR_PLUS,17,7,5,3,300,127501001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200040,2073,Pisces,2073.png,SYZ_UR_PLUS,17,7,5,3,300,157301001|127301001|127302001,999999999,5000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200041,2074,Venus,2074.png,WNS_UR_PLUS,17,7,5,3,300,127401001|127402001,999999999,10000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200042,2083,Ares,2083.png,ARS_UR_PLUS,17,7,5,3,300,128301001|128302001,999999999,10000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200043,2054,Enmusubi,2054.png,ZRNZ_UR_PLUS,17,7,5,3,300,155301001|155302001|125301001|125302001,999999999,10000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
200044,2077,Thor,2077.png,SE_UR_PLUS,17,7,5,3,300,157701001|157702001|127701001|127702001,999999999,10000000000,50000,100000,999,999,999,999,9999999,0,9999,9999,0,900,0,0,999999,999999,999999,0,0,0,0
