id,pool_id,login_day,reward
1,1,1,5:3000049:5
2,1,2,5:3000027:5
3,1,3,5:6000008:2
4,1,4,5:3000027:5
5,1,5,5:1000013:1
6,1,6,5:3000049:5
7,1,7,5:3000027:10
8,2,1,5:3000027:5
9,2,2,5:3000027:5
10,2,3,5:6000008:4
11,2,4,5:3000009:20
12,2,5,5:1000014:1
13,2,6,5:3000027:5
14,2,7,5:3000027:10
15,3,1,5:3000049:10
16,3,2,5:3000027:10
17,3,3,5:6000008:4
18,3,4,5:3000027:10
19,3,5,5:1000013:1
20,3,6,5:3000049:10
21,3,7,5:3000027:15
22,4,1,5:3000027:5
23,4,2,5:3000027:10
24,4,3,5:6000008:6
25,4,4,5:6000001:10
26,4,5,5:1000014:1
27,4,6,5:3000027:10
28,4,7,5:3000027:20
29,5,1,5:3000049:15
30,5,2,5:3000027:15
31,5,3,5:6000008:6
32,5,4,5:3000027:10
33,5,5,5:1000013:2
34,5,6,5:3000049:15
35,5,7,5:3000027:20
36,6,1,5:3000027:10
37,6,2,5:3000027:15
38,6,3,5:6000007:1
39,6,4,5:6000001:20
40,6,5,5:1000015:1
41,6,6,5:3000027:10
42,6,7,5:3000027:25
43,7,1,5:3000049:20
44,7,2,5:3000027:20
45,7,3,5:6000008:10
46,7,4,5:3000027:20
47,7,5,5:1000013:4
48,7,6,5:3000049:20
49,7,7,5:3000027:30
50,8,1,5:3000027:15
51,8,2,5:3000027:20
52,8,3,5:6000007:1
53,8,4,5:6000001:30
54,8,5,5:1000016:1
55,8,6,5:3000027:20
56,8,7,5:3000027:40
