id,pool_id,condition,reward,advanced_reward
1,1,100,5:2000007:3|1:2:500,5:3000027:3|1:2:500
2,1,200,5:2000007:3,5:3000027:3|1:2:200
3,1,300,5:2000007:3,5:3000027:3|1:2:200
4,1,400,5:2000007:3,5:3000027:3|1:2:200
5,1,500,5:2000007:3|1:2:500,5:3000027:5|1:2:500
6,1,600,5:2000007:3,5:3000027:3|1:2:200
7,1,700,5:2000007:3,5:3000027:3|1:2:200
8,1,800,5:2000007:3,5:3000027:3|1:2:200
9,1,900,5:2000007:3,5:3000027:3|1:2:200
10,1,1000,5:2000007:3|1:2:500,5:3000027:5|1:2:500
11,1,1100,5:2000007:3,5:3000027:3|1:2:200
12,1,1200,5:2000007:3,5:3000027:3|1:2:200
13,1,1300,5:2000007:3,5:3000027:3|1:2:200
14,1,1400,5:2000007:3,5:3000027:3|1:2:200
15,1,1500,5:2000007:3|1:2:500,5:3000027:5|1:2:500
16,2,100,5:2000007:3|1:2:500,5:3000027:3|1:2:500
17,2,200,5:2000007:3,5:3000027:3|1:2:200
18,2,300,5:2000007:3,5:3000027:3|1:2:200
19,2,400,5:2000007:3,5:3000027:3|1:2:200
20,2,500,5:2000007:3|1:2:500,5:3000027:5|1:2:500
21,2,600,5:2000007:3,5:3000027:3|1:2:200
22,2,700,5:2000007:3,5:3000027:3|1:2:200
23,2,800,5:2000007:3,5:3000027:3|1:2:200
24,2,900,5:2000007:3,5:3000027:3|1:2:200
25,2,1000,5:2000007:3|1:2:500,5:3000027:5|1:2:500
26,2,1100,5:2000007:3,5:3000027:3|1:2:200
27,2,1200,5:2000007:3,5:3000027:3|1:2:200
28,2,1300,5:2000007:3,5:3000027:3|1:2:200
29,2,1400,5:2000007:3,5:3000027:3|1:2:200
30,2,1500,5:2000007:3|1:2:500,5:3000027:5|1:2:500
31,3,100,5:2000007:5|1:2:500,5:3000027:3|1:2:500
32,3,200,5:2000007:5,5:3000027:3|1:2:200
33,3,300,5:2000007:5,5:3000027:3|1:2:200
34,3,400,5:2000007:5,5:3000027:3|1:2:200
35,3,500,5:2000007:5|1:2:500,5:3000027:5|1:2:500
36,3,600,5:2000007:5,5:3000027:3|1:2:200
37,3,700,5:2000007:5,5:3000027:3|1:2:200
38,3,800,5:2000007:5,5:3000027:3|1:2:200
39,3,900,5:2000007:5,5:3000027:3|1:2:200
40,3,1000,5:2000007:5|1:2:500,5:3000027:5|1:2:500
41,3,1100,5:2000007:5,5:3000027:3|1:2:200
42,3,1200,5:2000007:5,5:3000027:3|1:2:200
43,3,1300,5:2000007:5,5:3000027:3|1:2:200
44,3,1400,5:2000007:5,5:3000027:3|1:2:200
45,3,1500,5:2000007:5|1:2:500,5:3000027:5|1:2:500
46,4,100,5:2000007:5|1:2:500,5:3000027:3|1:2:500
47,4,200,5:2000007:5,5:3000027:3|1:2:200
48,4,300,5:2000007:5,5:3000027:3|1:2:200
49,4,400,5:2000007:5,5:3000027:3|1:2:200
50,4,500,5:2000007:5|1:2:500,5:3000027:5|1:2:500
51,4,600,5:2000007:5,5:3000027:3|1:2:200
52,4,700,5:2000007:5,5:3000027:3|1:2:200
53,4,800,5:2000007:5,5:3000027:3|1:2:200
54,4,900,5:2000007:5,5:3000027:3|1:2:200
55,4,1000,5:2000007:5|1:2:500,5:3000027:5|1:2:500
56,4,1100,5:2000007:5,5:3000027:3|1:2:200
57,4,1200,5:2000007:5,5:3000027:3|1:2:200
58,4,1300,5:2000007:5,5:3000027:3|1:2:200
59,4,1400,5:2000007:5,5:3000027:3|1:2:200
60,4,1500,5:2000007:5|1:2:500,5:3000027:5|1:2:500
61,5,100,5:2000007:8|1:2:500,5:3000027:3|1:2:500
62,5,200,5:2000007:8,5:3000027:3|1:2:200
63,5,300,5:2000007:8,5:3000027:3|1:2:200
64,5,400,5:2000007:8,5:3000027:3|1:2:200
65,5,500,5:2000007:8|1:2:500,5:3000027:5|1:2:500
66,5,600,5:2000007:8,5:3000027:3|1:2:200
67,5,700,5:2000007:8,5:3000027:3|1:2:200
68,5,800,5:2000007:8,5:3000027:3|1:2:200
69,5,900,5:2000007:8,5:3000027:3|1:2:200
70,5,1000,5:2000007:8|1:2:500,5:3000027:5|1:2:500
71,5,1100,5:2000007:8,5:3000027:3|1:2:200
72,5,1200,5:2000007:8,5:3000027:3|1:2:200
73,5,1300,5:2000007:8,5:3000027:3|1:2:200
74,5,1400,5:2000007:8,5:3000027:3|1:2:200
75,5,1500,5:2000007:8|1:2:500,5:3000027:5|1:2:500
76,6,100,5:2000007:8|1:2:500,5:3000027:3|1:2:500
77,6,200,5:2000007:8,5:3000027:3|1:2:200
78,6,300,5:2000007:8,5:3000027:3|1:2:200
79,6,400,5:2000007:8,5:3000027:3|1:2:200
80,6,500,5:2000007:8|1:2:500,5:3000027:5|1:2:500
81,6,600,5:2000007:8,5:3000027:3|1:2:200
82,6,700,5:2000007:8,5:3000027:3|1:2:200
83,6,800,5:2000007:8,5:3000027:3|1:2:200
84,6,900,5:2000007:8,5:3000027:3|1:2:200
85,6,1000,5:2000007:8|1:2:500,5:3000027:5|1:2:500
86,6,1100,5:2000007:8,5:3000027:3|1:2:200
87,6,1200,5:2000007:8,5:3000027:3|1:2:200
88,6,1300,5:2000007:8,5:3000027:3|1:2:200
89,6,1400,5:2000007:8,5:3000027:3|1:2:200
90,6,1500,5:2000007:8|1:2:500,5:3000027:5|1:2:500
91,7,100,5:2000008:10|1:2:500,5:3000027:3|1:2:500
92,7,200,5:2000008:10,5:3000027:3|1:2:200
93,7,300,5:2000008:10,5:3000027:3|1:2:200
94,7,400,5:2000008:10,5:3000027:3|1:2:200
95,7,500,5:2000008:10|1:2:500,5:3000027:5|1:2:500
96,7,600,5:2000008:10,5:3000027:3|1:2:200
97,7,700,5:2000008:10,5:3000027:3|1:2:200
98,7,800,5:2000008:10,5:3000027:3|1:2:200
99,7,900,5:2000008:10,5:3000027:3|1:2:200
100,7,1000,5:2000008:10|1:2:500,5:3000027:5|1:2:500
101,7,1100,5:2000008:10,5:3000027:3|1:2:200
102,7,1200,5:2000008:10,5:3000027:3|1:2:200
103,7,1300,5:2000008:10,5:3000027:3|1:2:200
104,7,1400,5:2000008:10,5:3000027:3|1:2:200
105,7,1500,5:2000008:10|1:2:500,5:3000027:5|1:2:500
106,8,100,5:2000008:10|1:2:500,5:3000027:3|1:2:500
107,8,200,5:2000008:10,5:3000027:3|1:2:200
108,8,300,5:2000008:10,5:3000027:3|1:2:200
109,8,400,5:2000008:10,5:3000027:3|1:2:200
110,8,500,5:2000008:10|1:2:500,5:3000027:5|1:2:500
111,8,600,5:2000008:10,5:3000027:3|1:2:200
112,8,700,5:2000008:10,5:3000027:3|1:2:200
113,8,800,5:2000008:10,5:3000027:3|1:2:200
114,8,900,5:2000008:10,5:3000027:3|1:2:200
115,8,1000,5:2000008:10|1:2:500,5:3000027:5|1:2:500
116,8,1100,5:2000008:10,5:3000027:3|1:2:200
117,8,1200,5:2000008:10,5:3000027:3|1:2:200
118,8,1300,5:2000008:10,5:3000027:3|1:2:200
119,8,1400,5:2000008:10,5:3000027:3|1:2:200
120,8,1500,5:2000008:10|1:2:500,5:3000027:5|1:2:500
