id,pool_id,active_value,reward
1,1,100,5:3000049:5
2,1,200,5:1000008:2
3,1,300,5:2000010:40
4,1,400,5:3000008:30
5,1,600,5:2000006:5
6,1,800,5:3000011:2
7,1,1000,5:3000049:5|1:2:1000|5:3000027:5
8,2,100,5:3000049:10
9,2,200,5:1000008:5
10,2,300,5:2000010:50
11,2,400,5:3000009:10
12,2,600,5:2000006:10
13,2,800,5:3000065:2
14,2,1000,1:2:1500|5:3000027:10
15,3,100,5:3000049:10
16,3,200,5:1000008:5
17,3,300,5:2000010:50
18,3,400,5:3000008:40
19,3,600,5:2000006:10
20,3,800,5:3000011:3
21,3,1000,1:2:1500|5:3000027:10
22,4,100,5:3000049:15
23,4,200,5:1000008:10
24,4,300,5:2000010:50
25,4,400,5:3000009:20
26,4,600,5:2000007:5
27,4,800,5:3000065:5
28,4,1000,1:2:2000|5:3000027:15
29,5,100,5:3000049:10
30,5,200,5:1000008:10
31,5,300,5:2000011:40
32,5,400,5:3000009:20
33,5,600,5:2000007:10
34,5,800,5:3000011:5
35,5,1000,1:2:2000|5:3000027:15
36,6,100,5:3000049:20
37,6,200,5:1000010:5
38,6,300,5:2000011:50
39,6,400,5:3000010:10
40,6,600,5:2000007:5
41,6,800,5:3000065:8
42,6,1000,1:2:2500|5:3000027:20
43,7,100,5:3000049:10
44,7,200,5:1000010:5
45,7,300,5:2000011:80
46,7,400,5:6000001:10
47,7,600,5:2000008:5
48,7,800,5:3000011:8
49,7,1000,1:2:3000|5:3000027:20
50,8,100,5:3000049:20
51,8,200,5:1000010:5
52,8,300,5:2000011:100
53,8,400,5:6000001:20
54,8,600,5:2000008:5
55,8,800,5:3000065:10
56,8,1000,1:2:5000|5:3000027:25
