cfg_id,name,icon_path,job_need,armor_part,level,main_attr_str,secondary_attr,job_limit_base_attr,sell_price
1101,Shortsword,1101.png,0,1,1,2:3:3|2:4:5,5,,100
1102,Saber,1102.png,0,1,5,2:3:10|2:4:12,10,,100
1103,Longsword,1103.png,0,1,10,2:3:24|2:4:29,20,,100
1104,Valor Sword,1104.png,0,1,15,2:3:56|2:4:69,35,,100
1105,Destiny,1105.png,0,1,20,2:3:107|2:4:131,50,,100
1106,Bliss Sword,1106.png,0,1,25,2:3:180|2:4:221,65,,100
1107,Galaxy,1107.png,0,1,30,2:3:281|2:4:343,80,,100
1108,Blood Blade,1108.png,0,1,35,2:3:405|2:4:496,95,,100
1109,Avenger,1109.png,0,1,40,2:3:556|2:4:679,110,,100
1110,Rune Sword,1110.png,0,1,45,2:3:761|2:4:931,125,,100
1111,Marshal,1111.png,0,1,50,2:3:1007|2:4:1230,140,,100
1112,Wizardry,1112.png,0,1,55,2:3:1295|2:4:1582,160,,100
1113,Banshee,1113.png,0,1,60,2:3:1513|2:4:1850,180,,100
1114,Void Sabre,1114.png,0,1,65,2:3:2022|2:4:2472,200,,100
1115,Soul Blade,1115.png,0,1,70,2:3:2458|2:4:3005,220,,100
1116,Starlight,1116.png,0,1,75,2:3:2967|2:4:3627,240,,100
1117,Nostalgia,1117.png,0,1,80,2:3:3503|2:4:4282,260,,100
1118,Bloodvenom,1118.png,0,1,85,2:3:4105|2:4:5018,280,,100
1119,Crescent,1119.png,0,1,90,2:3:4771|2:4:5831,300,,100
1120,Dominator,1120.png,0,1,95,2:3:5492|2:4:6712,325,,100
1121,Titan Blade,1121.png,0,1,100,2:3:5863|2:4:7166,350,,100
1122,Sentinel,1122.png,0,1,105,2:3:6701|2:4:8191,375,,100
1123,Razor-Sharp,1123.png,0,1,110,2:3:7059|2:4:8628,400,,100
1124,Magister,1124.png,0,1,115,2:3:7610|2:4:9301,410,,100
1125,Soulrip,1125.png,0,1,120,2:3:8084|2:4:9880,420,,100
1126,Steel Saber,1126.png,0,1,125,2:3:8617|2:4:10532,430,,100
1127,Citadel,1127.png,0,1,130,2:3:9068|2:4:11083,440,,100
1128,Terror,1128.png,0,1,135,2:3:9711|2:4:11868,450,,100
1129,Scryer,1129.png,0,1,140,2:3:10134|2:4:12387,460,,100
1130,Lost Souls,1130.png,0,1,145,2:3:10881|2:4:13299,470,,100
1131,Excalibur,1131.png,0,1,150,2:3:11540|2:4:14104,480,,100
1132,Empyreal Sword,1120.png,0,1,155,2:3:12198|2:4:14909,490,,100
1133,Starlight Sword,1121.png,0,1,160,2:3:12857|2:4:15714,500,,100
1134,Glorious Sword,1122.png,0,1,165,2:3:13516|2:4:16519,510,,100
1135,Eternal Sword,1123.png,0,1,170,2:3:14175|2:4:17325,520,,100
1136,Rift Sword,1124.png,0,1,175,2:3:14833|2:4:18130,530,,100
1137,Infernal Sword,1125.png,0,1,180,2:3:15492|2:4:18935,540,,100
1138,Heaven Sword,1126.png,0,1,185,2:3:16151|2:4:19740,550,,100
1139,Supreme Sword,1127.png,0,1,190,2:3:16810|2:4:20545,560,,100
1140,Hades Sword,1128.png,0,1,195,2:3:17469|2:4:21351,570,,100
1141,Immortal Sword,1129.png,0,1,200,2:3:18127|2:4:22156,580,,100
1142,Emperor's Sword,1130.png,0,1,205,2:3:18786|2:4:22961,590,,100
1143,Celestial Sword,1131.png,0,1,210,2:3:19445|2:4:23766,600,,100
1144,Lightforged Sword,1127.png,0,1,215,2:3:20103|2:4:24571,610,,100
1145,Storm Sword,1121.png,0,1,220,2:3:20762|2:4:25376,620,,100
1146,Faith Sword,1124.png,0,1,225,2:3:22100|2:4:26505,630,,100
1147,Oracle Sword,1125.png,0,1,230,2:3:23804|2:4:28152,640,,100
1148,Orison Sword,1126.png,0,1,235,2:3:25508|2:4:29799,650,,100
1149,Pantheon Sword,1127.png,0,1,240,2:3:27212|2:4:31446,660,,100
1150,Deicide Sword,1128.png,0,1,245,2:3:28916|2:4:33093,670,,100
1151,Genesis Sword,1129.png,0,1,250,2:3:30620|2:4:34740,680,,100
1152,Moonlit Sword,1130.png,0,1,255,2:3:32324|2:4:36387,690,,100
1153,Sunlit Sword,1131.png,0,1,260,2:3:34028|2:4:38034,700,,100
1154,Thunder Sword,1120.png,0,1,265,2:3:35732|2:4:39681,710,,100
1155,Supreme  Sword,1121.png,0,1,270,2:3:37436|2:4:41328,720,,100
1156,Infinite Sword,1122.png,0,1,275,2:3:39140|2:4:42975,730,,100
1157,Cycle Sword,1123.png,0,1,280,2:3:40844|2:4:44622,740,,100
1158,Evolving Sword,1124.png,0,1,285,2:3:42548|2:4:46269,750,,100
1159,Transcending Sword,1125.png,0,1,290,2:3:44252|2:4:47916,760,,100
1160,Galactic Sword,1126.png,0,1,295,2:3:45956|2:4:49563,770,,100
1161,Cosmic Sword,1127.png,0,1,300,2:3:47660|2:4:51210,780,,100
1162,Sword of Destruction,1128.png,0,1,305,2:3:49364|2:4:52857,790,,100
1163,Sword of Hope,1129.png,0,1,310,2:3:51068|2:4:54504,800,,100
1164,Holy Sword,1130.png,0,1,315,2:3:52772|2:4:56151,810,,100
1165,Divinity Sword,1131.png,0,1,320,2:3:54476|2:4:57798,820,,100
1166,Shadow Sword,1120.png,0,1,325,2:3:56180|2:4:59445,830,,100
1167,Void Sword,1121.png,0,1,330,2:3:57884|2:4:61092,840,,100
1168,Origin Sword,1122.png,0,1,335,2:3:59588|2:4:62739,850,,100
1169,Sacred Flame Sword,1123.png,0,1,340,2:3:61292|2:4:64386,860,,100
1170,Luminous Sword,1124.png,0,1,345,2:3:62996|2:4:66033,870,,100
