cfg_id,illusion_level,armor_part,quality,add_exp,name,icon,description
1,1,1,4,10,T1 Magic stone-Weapon,11.png,Materials needed to ascend Weapon to T1
2,1,4,4,10,T1 Magic stone-Armor,12.png,Materials needed to ascend Armor to T1
3,1,2,4,10,T1 Magic stone-Helmet,13.png,Materials needed to ascend Helmet to T1
4,1,8,4,10,T1 Magic stone-Belt,14.png,Materials needed to ascend Belt to T1
5,1,10,4,10,T1 Magic stone-Boots,15.png,Materials needed to ascend Shoes to T1
6,1,5,4,10,T1 Magic stone-Ring,16.png,Materials needed to ascend Ring to T1
7,2,1,5,50,T2 Magic stone-Weapon,21.png,Materials needed to ascend Weapon to T2
8,2,4,5,50,T2 Magic stone-Armor,22.png,Materials needed to ascend Armor to T2
9,2,2,5,50,T2 Magic stone-Helmet,23.png,Materials needed to ascend Helmet to T2
10,2,8,5,50,T2 Magic stone-Belt,24.png,Materials needed to ascend Belt to T2
11,2,10,5,50,T2 Magic stone-Boots,25.png,Materials needed to ascend Shoes to T2
12,2,5,5,50,T2 Magic stone-Ring,26.png,Materials needed to ascend Ring to T2
13,3,1,6,250,T3 Magic stone-Weapon,31.png,Materials needed to ascend Weapon to T3
14,3,4,6,250,T3 Magic stone-Armor,32.png,Materials needed to ascend Armor to T3
15,3,2,6,250,T3 Magic stone-Helmet,33.png,Materials needed to ascend Helmet to T3
16,3,8,6,250,T3 Magic stone-Belt,34.png,Materials needed to ascend Belt to T3
17,3,10,6,250,T3 Magic stone-Boots,35.png,Materials needed to ascend Shoes to T3
18,3,5,6,250,T3 Magic stone-Ring,36.png,Materials needed to ascend Ring to T3
19,4,1,6,300,T4 Magic Stone - Weapon,41.png,Required materials for ascending a T3 Weapon to T4
20,4,4,6,300,T4 Magic Stone - Armor,42.png,Required materials for ascending a T3 Armor to T4
21,4,2,6,300,T4 Magic Stone - Helmet,43.png,Required materials for ascending a T3 Helmet to T4
22,4,8,6,300,T4 Magic Stone - Belt,44.png,Required materials for ascending a T3 Belt to T4
23,4,10,6,300,T4 Magic Stone - Shoes,45.png,Required materials for ascending a T3 Shoes to T4
24,4,5,6,300,T4 Magic Stone - Ring,46.png,Required materials for ascending a T3 Ring to T4
25,5,1,6,500,T5 Magic stone-Weapon,51.png,Materials needed to ascend Weapon to T5
26,5,4,6,500,T5 Magic stone-Armor,52.png,Materials needed to ascend Armor to T5
27,5,2,6,500,T5 Magic stone-Helmet,53.png,Materials needed to ascend Helmet to T5
28,5,8,6,500,T5 Magic stone-Belt,54.png,Materials needed to ascend Belt to T5
29,5,10,6,500,T5 Magic stone-Boots,55.png,Materials needed to ascend Shoes to T5
30,5,5,6,500,T5 Magic stone-Ring,56.png,Materials needed to ascend Ring to T5
