id,team,super_awake_arr,show_hero
1,2014:0:4|2015:0:4|2036:0:4|1001:0:24|2026:0:4|2041:0:4|2040:0:4|2046:0:4|2028:0:4|2012:0:2|2004:0:4|2037:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
2,2015:0:4|2046:0:4|2054:0:2|1001:0:24|2038:0:2|2026:0:4|2002:0:4|2012:0:4|2011:0:4|2041:0:3|2040:0:4|2004:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
3,2026:0:3|2037:0:4|1001:0:24|2047:0:2|2041:0:4|2046:0:4|2054:0:2|2038:0:4|2028:0:4|2048:0:2|2040:0:4|2025:0:3,0|0|0|0|0|0|0|0|0|0|0|0,1
4,2028:0:4|2035:0:4|2040:0:4|2012:0:5|1001:0:29|2037:0:5|2047:0:2|2013:0:2|2024:0:2|2048:0:2|2026:0:4|2038:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
5,1001:0:22|2038:0:3|2002:0:4|2031:0:2|2019:0:2|2011:0:4|2040:0:4|2048:0:3|2041:0:4|2036:0:4|2026:0:4|2046:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
6,2050:0:2|2012:0:2|2037:0:3|2032:0:2|1001:0:29|2025:0:3|2038:0:4|2035:0:2|2026:0:4|2031:0:3|2047:0:3|2062:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
7,2038:0:4|2031:0:5|2046:0:4|2037:0:4|2040:0:4|2026:0:4|2028:0:4|2024:0:2|1001:0:25|2041:0:4|2048:0:2|2035:0:3,0|0|0|0|0|0|0|0|0|0|0|0,1
8,2011:0:4|2040:0:4|2014:0:4|2041:0:4|2002:0:4|2026:0:4|2038:0:4|1001:0:23|2028:0:4|2036:0:4|2025:0:2|2015:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
9,2036:0:4|2026:0:4|2054:0:3|2002:0:4|2040:0:4|2028:0:4|1001:0:22|2041:0:4|2011:0:4|2050:0:2|2004:0:4|2035:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
10,2047:0:3|1001:0:22|2031:0:2|2054:0:3|2026:0:4|2040:0:4|2028:0:4|2038:0:4|2046:0:4|2041:0:4|2002:0:4|2014:0:4,0|0|0|0|0|0|0|0|0|0|0|0,2
11,2040:0:4|2046:0:4|2054:0:2|2048:0:2|2038:0:4|2025:0:2|1001:0:24|2037:0:3|2026:0:4|2003:0:4|2011:0:4|2028:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
