id,type,name,old_price,price,reward,charge_cfg_id,before_id
1,1,钻石礼包1,1999,99,5:2000011:40|5:2000007:1|5:2000025:1|5:2000024:1|5:2000027:1|5:3000006:200,0,0
2,1,钻石礼包2,3999,399,5:3000049:5|5:1000039:10|5:6000001:1|5:3000064:1|5:2000007:1|5:3000006:399,0,1
3,1,钻石礼包3,4999,999,5:3000049:5|5:1000040:5|5:1000006:5|5:6000001:1|5:3000064:1|5:2000007:1|5:3000006:500,0,2
4,1,钻石礼包4,5999,1999,5:6000003:1|5:1000040:5|5:1000008:1|5:6000001:5|5:3000064:3|5:3000065:1|5:2000007:1|5:3000006:500,0,3
5,1,钻石礼包5,9999,4999,5:3000027:5|5:1000040:5|5:1000008:5|5:3000064:5|5:3000065:4|5:6000001:10|5:2000007:2|5:3000006:1000,0,4
6,2,充值礼包1,1351,0,5:3000027:3|5:2000025:1|5:2000024:1|5:2000027:1|5:2000007:1|10:120,1301,0
7,2,充值礼包2,1352,0,5:3000027:5|5:2000011:40|5:3000011:5|5:1000008:1|5:2000007:1|10:300,1302,6
8,2,充值礼包3,1353,0,5:3000027:10|5:1000041:5|5:3000011:5|5:1000008:1|5:2000007:3|10:900,1303,7
9,2,充值礼包4,1354,0,5:3000027:25|5:3000049:5|5:3000064:5|5:3000066:10|5:1000041:5|1:2:500|10:1800,1304,8
10,2,充值礼包5,1355,0,5:3000027:35|5:3000140:20|5:6000008:3|5:3000139:4000|5:3000065:5|5:1000008:10|1:2:1000|10:3000,1305,9
11,2,充值礼包6,1356,0,5:6000007:1|5:3000140:50|5:1000041:10|5:3000139:10000|5:3000065:10|5:1000008:20|1:2:2000|10:6000,1306,10
