task_id,task_type,task_subtype,newbie_day,task_condition,task_value,reward,newbie_active_value,selling_price,name,content,content_param,task_group,task_index,task_id_before
11000101,11,0,1,2,1,1:2:100,1,,,Login for 1 day,,0,0,0
11000102,11,0,1,123,60,1:4:50|5:3000006:100,1,,,Top up to get 60 VIP EXP,,0,0,0
11000103,11,1,1,3,20,1:1:60000|5:3000004:1,1,,,Complete Dungeon 2-19,,11000103,0,0
11000104,11,1,1,3,40,1:1:120000|5:3000004:2,1,,,Complete Dungeon 3-20,,11000103,1,11000103
11000105,11,1,1,3,60,1:1:180000|5:3000005:1,1,,,Complete Dungeon 4-20,,11000103,2,11000104
11000106,11,1,1,3,80,1:1:240000|5:3000005:2,1,,,Complete Dungeon 5-20,,11000103,3,11000105
11000107,11,1,1,3,100,1:1:300000|5:3000005:3,1,,,Complete Dungeon 6-20,,11000103,4,11000106
11000108,11,2,1,1,5,1:1:50000|1:2:100,1,,,Upgrade to Lv.5,,11000108,0,0
11000109,11,2,1,1,10,1:1:100000|1:2:150,1,,,Upgrade to Lv.10,,11000108,1,11000108
11000110,11,2,1,1,20,1:1:150000|1:2:200,1,,,Upgrade to Lv.20,,11000108,2,11000109
11000111,11,2,1,1,30,1:1:200000|1:2:250,1,,,Upgrade to Lv.30,,11000108,3,11000110
11000112,11,2,1,1,50,1:1:250000|1:2:300,1,,,Upgrade to Lv.50,,11000108,4,11000111
11000113,11,99,1,46,1,1:4:5000|1:1:200000,1,2:300|2:1500,,Half Price Sale,,0,0,0
11000201,11,0,2,2,2,1:2:100,1,,,Login for 2 days,,0,0,0
11000202,11,0,2,123,120,1:1:600000|5:3000006:200,1,,,Obtain 120 VIP EXP in total,,0,0,0
11000203,11,2,2,95,20,1:1:50000|1:14:10000,1,,,Any Angel upgrade to Lv20,,11000203,0,0
11000204,11,2,2,95,40,1:1:100000|1:14:20000,1,,,Any Angel upgrade to Lv40,,11000203,1,11000203
11000205,11,2,2,95,60,1:1:150000|1:14:30000,1,,,Any Angel upgrade to Lv60,,11000203,2,11000204
11000206,11,2,2,95,80,1:1:200000|1:14:40000,1,,,Any Angel upgrade to Lv80,,11000203,3,11000205
11000207,11,2,2,95,100,1:1:250000|1:14:50000,1,,,Any Angel upgrade to Lv100,,11000203,4,11000206
11000208,11,5,2,26,10,1:1:30000|1:2:10,1,,,Fight in the Arena 10 times,,11000208,0,0
11000209,11,5,2,26,20,1:1:60000|1:2:20,1,,,Fight in the Arena 20 times,,11000208,1,11000208
11000210,11,5,2,26,30,1:1:90000|1:2:40,1,,,Fight in the Arena 30 times,,11000208,2,11000209
11000211,11,5,2,26,40,1:1:120000|1:2:70,1,,,Fight in the Arena 40 times,,11000208,3,11000210
11000212,11,5,2,26,50,1:1:150000|1:2:100,1,,,Fight in the Arena 50 times,,11000208,4,11000211
11000213,11,99,2,46,1,1:4:5000|5:2000007:1,1,2:500|2:2000,,Half Price Sale,,0,0,0
11000301,11,0,3,2,3,1:2:100,1,,,Login for 3 days,,0,0,0
11000302,11,0,3,123,500,5:3000007:10|5:3000006:400,1,,,Obtain 500 VIP EXP in total,,0,0,0
11000303,11,6,3,22,10,1:1:30000|1:4:500,1,,,Fully equip gear enhanced by 10 levels on any angel,,11000303,0,0
11000304,11,6,3,22,20,1:1:60000|1:4:1000,1,,,Fully equip gear enhanced by 20 levels on any angel,,11000303,1,11000303
11000305,11,6,3,22,30,1:1:90000|1:4:1500,1,,,Fully equip gear enhanced by 30 levels on any angel,,11000303,2,11000304
11000306,11,6,3,22,40,1:1:120000|1:4:2000,1,,,Fully equip gear enhanced by 40 levels on any angel,,11000303,3,11000305
11000307,11,6,3,22,50,1:1:150000|1:4:2500,1,,,Fully equip gear enhanced by 50 levels on any angel,,11000303,4,11000306
11000308,11,7,3,25,2,1:1:30000|1:2:50,1,,,Quick Combat 2 times,,11000308,0,0
11000309,11,7,3,25,5,1:1:60000|1:2:100,1,,,Quick-Combat 5 times,,11000308,1,11000308
11000310,11,7,3,25,8,1:1:90000|1:2:150,1,,,Quick-Combat 8 times,,11000308,2,11000309
11000311,11,7,3,25,11,1:1:120000|1:2:200,1,,,Quick-Combat 11 times,,11000308,3,11000310
11000312,11,7,3,25,15,1:1:150000|1:2:300,1,,,Quick-Combat 15 times,,11000308,4,11000311
11000313,11,99,3,46,1,1:4:5000|5:3000005:5,1,2:800|2:2500,,Half Price Sale,,0,0,0
11000401,11,0,4,2,4,1:2:100,1,,,Login for 4 days,,0,0,0
11000402,11,0,4,123,1000,5:3000005:2|5:3000006:500,1,,,Obtain 1000 VIP EXP in total,,0,0,0
11000403,11,8,4,11,100,1:1:30000|1:3:500,1,,,Smelt gear 100 times,,11000403,0,0
11000404,11,8,4,11,200,1:1:60000|1:3:1000,1,,,Smelt gear 200 times,,11000403,1,11000403
11000405,11,8,4,11,400,1:1:90000|1:3:2000,1,,,Smelt gear 400 times,,11000403,2,11000404
