id,minutes,reward_str
1,0,3:14004:5
2,5,5:3000004:1
3,8,1:2:50
4,12,5:3000004:2
5,18,5:2000004:1
6,30,7:2030:20
7,90,1:4:1000
8,180,5:2000005:1
9,240,1:2:100
10,360,5:3000005:1
11,480,5:2000005:3
12,480,1:2:200
13,480,5:2000005:3
14,480,5:3000005:1
15,480,5:2000005:3
16,480,5:3000005:1
17,480,5:3000008:6
18,480,5:3000005:1
19,480,1:2:200
20,480,5:3000005:1
21,600,1:2:100
22,600,1:4:2000
23,600,1:2:100
24,600,1:4:2000
25,600,1:2:100
26,600,1:4:2000
27,600,1:2:100
28,600,1:4:2000
29,600,1:2:100
30,600,1:4:2000
31,600,1:2:100
32,600,1:4:2000
33,600,1:2:100
34,600,1:4:2000
35,600,1:2:100
36,600,1:4:2000
37,840,1:2:100
38,840,1:2:100
39,840,1:2:100
40,840,1:2:100
41,840,1:2:100
42,840,1:2:100
43,840,1:2:100
44,840,1:2:100
45,840,1:2:100
46,840,1:2:100
47,840,1:2:100
48,840,1:2:100
49,840,1:2:100
50,840,1:2:100
51,840,1:2:100
52,1080,1:2:50
