id,type,charge_id,old_price,cost,give_reward,gift_name
1,1,0,0,1:2:200,5:3000208:2,0
2,1,0,0,1:2:500,5:3000209:1,0
3,1,0,0,1:2:800,5:3000207:1,0
4,1,0,0,1:2:600,5:3000027:1,0
5,1,0,0,1:2:1000,5:6000008:1,0
6,1,0,0,1:2:500,5:6000026:1,0
7,1,0,0,1:2:300,5:6000025:1,0
8,1,0,0,1:2:300,5:6000024:1,0
9,2,131006,$2.99,0,5:3000208:10|5:3000027:3|5:6000026:3|10:180,Molly's Selection 1
10,2,131007,$14.99,0,5:3000208:20|5:3000027:5|5:6000026:5|10:900,Molly's Selection 2
11,2,131008,$34.99,0,5:3000208:40|5:3000027:10|5:6000026:10|10:2100,Molly's Selection 3
12,2,131009,$2.99,0,5:3000208:10|5:3000027:3|5:6000026:3|10:180,Molly's Selection 1
13,2,131010,$14.99,0,5:3000208:20|5:3000027:5|5:6000026:5|10:900,Molly's Selection 2
14,2,131011,$34.99,0,5:3000208:40|5:3000027:10|5:6000026:10|10:2100,Molly's Selection 3
15,2,131012,$2.99,0,5:3000208:10|5:3000027:3|5:6000026:3|10:180,Molly's Selection 1
16,2,131013,$14.99,0,5:3000208:20|5:3000027:5|5:6000026:5|10:900,Molly's Selection 2
17,2,131014,$34.99,0,5:3000208:40|5:3000027:10|5:6000026:10|10:2100,Molly's Selection 3
