task_id,task_type,task_group,task_index,task_id_before,task_condition,task_value,reward,content,content_param,link
28100001,28,0,0,0,2,1,5:3000156:1,Daily Login,Daily Login,
28100002,28,0,0,28100001,37,1,5:3000156:1,Participated in the guild boss 1 times,Participated in the guild boss 1 times,
28100003,28,0,0,0,94,10,5:3000156:1,Level up any angel 10 times,Level up any angel 10 times,
28100004,28,0,0,28100003,94,20,5:3000156:1,Level up any angel 20 times,Level up any angel 20 times,
28100005,28,0,0,0,25,3,5:3000156:1,Quick-combat 3 times,Quick-combat 3 times,4
28100006,28,0,0,28100005,25,5,5:3000156:1,Quick-Combat 5 times,Quick-Combat 5 times,4
28100007,28,0,0,0,125,3,5:3000156:1,Complete adventure 3 times,Complete adventure 3 times,
28100008,28,0,0,28100007,125,5,5:3000156:1,Complete adventure 5 times,Complete adventure 5 times,
28100009,28,0,0,0,92,10,5:3000156:1,Summon 10 times,Summon 10 times,8
28100010,28,0,0,28100009,92,20,5:3000156:1,Summon 20 times,Summon 20 times,8
28100011,28,0,0,0,11,20,5:3000156:1,Smelt any 20 gears,Smelt any 20 gears,102|0
28100012,28,0,0,28100011,11,40,5:3000156:1,Smelt any 40 gears,Smelt any 40 gears,102|0
28100013,28,0,0,0,81,3000,5:3000156:1,Consume 3000 Enhance Essences in total,Consume 3000 Enhance Essences in total,
28100014,28,0,0,28100013,81,15000,5:3000156:1,Consume 15000 Enhance Essences in total,Consume 15000 Enhance Essences in total,
28100015,28,0,0,0,121,500,5:3000156:1,Consume 500 Holy Cores in total,Consume 500 Holy Cores in total,
28100016,28,0,0,28100015,121,1000,5:3000156:1,Consume 1000 Holy Cores in total,Consume 1000 Holy Cores in total,
28100017,28,0,0,0,137,500,5:3000156:1,Consume 500 Diamonds in total,Consume 500 Diamonds in total,
28100018,28,0,0,28100017,137,1500,5:3000156:1,Consume 1500 Diamonds in total,Consume 1500 Diamonds in total,
