task_id,round,condition,reward,content
1,1,1,5:3000156:6|5:3000157:9,Complete the Flip-game {0} times
2,1,2,5:3000156:6|5:3000157:9,Complete the Flip-game {0} times
3,1,4,5:3000156:6|5:3000157:9,Complete the Flip-game {0} times
4,1,7,5:3000156:6|5:3000157:9,Complete the Flip-game {0} times
5,1,11,5:3000156:6|5:3000157:18,Complete the Flip-game {0} times
6,2,15,5:3000157:27|1:2:100,Complete the Flip-game {0} times
7,2,19,5:3000157:27|1:2:100,Complete the Flip-game {0} times
8,2,23,5:3000157:27|1:2:100,Complete the Flip-game {0} times
9,2,28,5:3000157:27|1:2:100,Complete the Flip-game {0} times
10,2,33,5:3000157:27|1:2:100,Complete the Flip-game {0} times
11,3,39,5:3000157:30|1:2:200,Complete the Flip-game {0} times
12,3,45,5:3000157:30|1:2:200,Complete the Flip-game {0} times
13,3,51,5:3000157:30|1:2:200,Complete the Flip-game {0} times
14,3,60,5:3000157:45|1:2:200,Complete the Flip-game {0} times
15,3,69,5:3000157:45|1:2:200,Complete the Flip-game {0} times
16,4,78,5:3000157:45|1:2:300,Complete the Flip-game {0} times
17,4,90,5:3000157:54|1:2:300,Complete the Flip-game {0} times
18,4,102,5:3000157:54|1:2:300,Complete the Flip-game {0} times
19,4,114,5:3000157:54|1:2:300,Complete the Flip-game {0} times
20,4,126,5:3000157:54|1:2:300,Complete the Flip-game {0} times
21,5,141,5:3000157:60|1:2:500,Complete the Flip-game {0} times
22,5,156,5:3000157:60|1:2:500,Complete the Flip-game {0} times
23,5,171,5:3000157:60|1:2:500,Complete the Flip-game {0} times
24,5,186,5:3000157:60|1:2:500,Complete the Flip-game {0} times
25,5,201,5:3000157:60|1:2:500,Complete the Flip-game {0} times
26,5,216,5:3000157:60|1:2:500,Complete the Flip-game {0} times
27,5,231,5:3000157:60|1:2:500,Complete the Flip-game {0} times
28,5,246,5:3000157:60|1:2:500,Complete the Flip-game {0} times
29,6,261,5:3000157:60|1:2:500,Complete the Flip-game {0} times
30,6,276,5:3000157:60|1:2:1000,Complete the Flip-game {0} times
31,6,291,5:3000157:60|1:2:1000,Complete the Flip-game {0} times
32,6,306,5:3000157:60|1:2:1000,Complete the Flip-game {0} times
33,6,321,5:3000157:60|1:2:1000,Complete the Flip-game {0} times
34,6,336,5:3000157:60|1:2:1000,Complete the Flip-game {0} times
35,6,351,5:3000157:60|1:2:1000,Complete the Flip-game {0} times
36,6,366,5:3000157:60|1:2:1000,Complete the Flip-game {0} times
