id,box_type,box_id,reward
101,1,1,5:3000006:100
102,1,2,5:3000006:100
103,1,3,5:3000006:100
104,1,4,5:3000006:100
105,1,5,5:3000006:100
106,1,6,5:3000006:100
107,1,7,5:3000006:100
108,1,8,5:3000006:100
109,1,9,5:3000006:100
201,2,1,5:2000011:3
202,2,2,5:2000011:3
203,2,3,5:2000011:3
204,2,4,5:2000011:3
205,2,5,5:2000011:3
206,2,6,5:2000011:3
207,2,7,5:2000011:3
208,2,8,5:2000011:3
209,2,9,5:2000011:3
210,2,10,5:2000011:3
211,2,11,5:2000011:3
212,2,12,5:2000011:3
213,2,13,5:2000011:3
214,2,14,5:2000011:3
215,2,15,5:2000011:3
216,2,16,5:2000011:3
301,3,1,1:2:50
302,3,2,1:2:50
303,3,3,1:2:50
304,3,4,1:2:50
305,3,5,1:2:50
306,3,6,1:2:50
307,3,7,1:2:50
308,3,8,1:2:50
309,3,9,1:2:50
310,3,10,1:2:50
311,3,11,1:2:50
312,3,12,1:2:50
313,3,13,1:2:50
314,3,14,1:2:50
315,3,15,1:2:50
316,3,16,1:2:50
317,3,17,1:2:50
318,3,18,1:2:50
319,3,19,1:2:50
320,3,20,1:2:50
321,3,21,1:2:50
322,3,22,1:2:50
323,3,23,1:2:50
324,3,24,1:2:50
325,3,25,1:2:50
