id,box_type,reward_id,box_id_list,reward
11,1,1,1|2|3,5:3000005:1
12,1,2,4|5|6,5:3000005:1
13,1,3,7|8|9,5:3000005:1
14,1,4,1|4|7,5:3000005:1
15,1,5,2|5|8,5:3000005:1
16,1,6,3|6|9,5:3000005:1
17,1,7,1|5|9,5:3000005:5
21,2,1,1|2|3|4,5:3000049:1
22,2,2,5|6|7|8,5:3000049:1
23,2,3,9|10|11|12,5:3000049:1
24,2,4,13|14|15|16,5:3000049:1
25,2,5,1|5|9|13,5:3000049:1
26,2,6,2|6|10|14,5:3000049:1
27,2,7,3|7|11|15,5:3000049:1
28,2,8,4|8|12|16,5:3000049:1
29,2,9,1|6|11|16,5:3000049:5
31,3,1,1|2|3|4|5,5:3000049:1
32,3,2,6|7|8|9|10,5:3000049:1
33,3,3,11|12|13|14|15,5:3000049:1
34,3,4,16|17|18|19|20,5:3000049:1
35,3,5,21|22|23|24|25,5:3000049:2
36,3,6,1|6|11|16|21,5:3000049:1
37,3,7,2|7|12|17|22,5:3000049:1
38,3,8,3|8|13|18|23,5:3000049:1
39,3,9,4|9|14|19|24,5:3000049:1
40,3,10,5|10|15|20|25,5:3000049:2
41,3,11,1|7|13|19|25,5:3000049:10
