cfg_id,need_summon_count,reward
1,10,5:3000027:5|5:3000006:500|5:1000008:1
2,30,5:3000027:5|5:3000006:500|5:1000008:1
3,50,5:3000027:5|5:3000006:500|5:1000008:1
4,70,5:3000027:5|5:3000006:500|5:1000008:1
5,100,5:3000027:10|5:3000006:1000|5:1000008:2
6,150,5:3000027:10|5:3000006:1000|5:1000008:2
7,200,5:3000027:10|5:3000006:1000|5:1000008:2
8,250,5:3000027:10|5:3000006:1000|5:1000008:2
9,300,5:3000027:10|5:3000006:1000|5:1000008:2
10,400,5:3000027:15|5:3000006:1500|5:1000008:3
11,500,5:3000027:15|5:3000006:1500|5:1000008:3
