task_id,task_type,task_group,task_index,task_id_before,task_condition,task_value,reward,content,content_param,link
39000001,39,0,0,0,9001,10,5:3000254:3,Perform {0} Summons During the Event,10,
39000002,39,0,0,0,9001,30,5:3000254:3,Perform {0} Summons During the Event,30,
39000003,39,0,0,0,9001,60,5:3000254:3,Perform {0} Summons During the Event,60,
39000004,39,0,0,0,9001,100,5:3000254:5,Perform {0} Summons During the Event,100,
39000005,39,0,0,0,9001,150,5:3000254:5,Perform {0} Summons During the Event,150,
39000006,39,0,0,0,9002,150,5:3000254:3,Gain {0} Daily Activity Points During the Event,150,
39000007,39,0,0,0,9002,300,5:3000254:3,Gain {0} Daily Activity Points During the Event,300,
39000008,39,0,0,0,9002,500,5:3000254:3,Gain {0} Daily Activity Points During the Event,500,
39000009,39,0,0,0,9002,700,5:3000254:5,Gain {0} Daily Activity Points During the Event,700,
39000010,39,0,0,0,9002,1000,5:3000254:5,Gain {0} Daily Activity Points During the Event,1000,
39000011,39,0,0,0,9003,1,5:3000254:3,Log in for {0} days during the event,1,
39000012,39,0,0,0,9003,3,5:3000254:3,Log in for {0} days during the event,3,
39000013,39,0,0,0,9003,5,5:3000254:3,Log in for {0} days during the event,5,
39000014,39,0,0,0,9003,7,5:3000254:3,Log in for {0} days during the event,7,
