cfg_id,type,star,weight,refresh_add_weight,cost_time,disappear_time,con_awake,con_star,con_job,con_state,rewards,extern_percent,extern_rewards,ad_rate
101,1,1,50,0,3557,0,0,0,0,0,5:3000006:30|1:1:10000,0,1:1:10000,0
102,1,2,42,0,7157,0,0,0,0,0,5:3000006:50|1:1:20000,0,1:1:20000,0
103,1,3,35,1,10757,0,0,0,0,0,5:3000006:75|1:1:30000|5:1000038:1,0,1:1:30000,600
104,1,4,5,3,14357,0,0,0,0,0,5:3000006:100|1:1:40000|5:1000039:1,0,1:1:40000,700
105,1,5,1,5,17957,0,0,0,0,0,5:3000006:150|1:1:50000|5:1000040:1,0,1:1:50000,1000
106,1,1,50,0,3557,0,0,0,0,0,1:4:500|1:1:10000,0,1:1:10000,0
107,1,2,42,0,7157,0,0,0,0,0,1:4:1000|1:1:20000,0,1:1:20000,0
108,1,3,35,1,10757,0,0,0,0,0,1:4:1500|1:1:30000|5:1000038:1,0,1:1:30000,600
109,1,4,5,3,14357,0,0,0,0,0,1:4:2000|1:1:40000|5:1000039:1,0,1:1:40000,700
110,1,5,1,5,17957,0,0,0,0,0,1:4:2500|1:1:50000|5:1000040:1,0,1:1:50000,1000
201,2,1,50,0,3557,600,0,0,0,0,5:3000006:10|1:1:10000,0,5:2000002:1,0
202,2,2,42,0,7157,1200,0,0,0,0,5:3000006:20|1:1:20000,0,5:2000002:2,0
203,2,3,35,1,10757,1800,1,0,0,0,5:3000006:30|1:1:30000|5:1000038:1,0,5:2000003:1,600
204,2,4,10,3,14357,2400,2,0,0,0,5:3000006:40|1:1:40000|5:1000039:1,0,5:2000003:2,700
205,2,5,3,5,17957,3000,2,0,0,0,5:3000006:50|1:1:50000|5:1000040:1,0,5:2000004:1,1000
206,2,1,50,0,3557,600,0,0,0,0,1:4:500|1:1:10000,0,5:2000002:1,0
207,2,2,42,0,7157,1200,0,0,0,0,1:4:1000|1:1:20000,0,5:2000002:2,0
208,2,3,35,1,10757,1800,1,0,0,0,1:4:1500|1:1:30000|5:1000038:1,0,5:2000003:1,600
209,2,4,10,3,14357,2400,2,0,0,0,1:4:2000|1:1:40000|5:1000039:1,0,5:2000003:2,700
210,2,5,3,5,17957,3000,2,0,0,0,1:4:2500|1:1:50000|5:1000040:1,0,5:2000004:1,1000
