rid,rank_min,rank_max,gold,medal,prestige
1,1,1,550,1000,0
2,2,2,500,600,0
3,3,3,450,500,0
4,4,4,400,450,0
5,5,5,350,400,0
6,6,6,340,380,0
7,7,7,330,360,0
8,8,8,320,340,0
9,9,9,310,320,0
10,10,10,300,300,0
11,11,20,250,250,0
12,21,30,210,220,0
13,31,40,180,200,0
14,41,50,150,190,0
15,51,60,140,180,0
16,61,70,130,170,0
17,71,80,120,160,0
18,81,90,110,150,0
19,91,100,100,140,0
20,101,200,95,130,0
21,201,300,90,120,0
22,301,400,85,110,0
23,401,500,80,105,0
24,501,600,75,100,0
25,601,700,70,95,0
26,701,800,65,90,0
27,801,900,60,85,0
28,901,1000,55,80,0
29,1001,2000,55,75,0
30,2001,3000,55,75,0
31,3001,4000,50,70,0
32,4001,5000,50,70,0
33,5001,6000,50,70,0
34,6001,7000,50,70,0
35,7001,2147483647,45,70,0
