task_id,stage,task_type,condition,reward,content
1,1,1,5,5:3000213:10|5:3000211:5,Rolled {0} times in total Miracle Card
2,1,1,15,5:3000213:15|5:3000211:6,Rolled {0} times in total Miracle Card
3,1,1,25,5:3000213:15|5:3000211:6,Rolled {0} times in total Miracle Card
4,1,1,40,5:3000213:20|5:3000211:8,Rolled {0} times in total Miracle Card
5,1,1,55,5:3000213:20|5:3000211:10,Rolled {0} times in total Miracle Card
6,2,1,70,5:3000213:30,Rolled {0} times in total Miracle Card
7,2,1,85,5:3000213:30,Rolled {0} times in total Miracle Card
8,2,1,100,5:3000213:40,Rolled {0} times in total Miracle Card
9,2,1,115,5:3000213:40,Rolled {0} times in total Miracle Card
10,2,1,130,5:3000213:40,Rolled {0} times in total Miracle Card
11,3,1,150,5:3000213:50,Rolled {0} times in total Miracle Card
12,3,1,170,5:3000213:50,Rolled {0} times in total Miracle Card
13,3,1,190,5:3000213:50,Rolled {0} times in total Miracle Card
14,3,1,210,5:3000213:50,Rolled {0} times in total Miracle Card
15,3,1,230,5:3000213:50,Rolled {0} times in total Miracle Card
16,4,1,250,5:3000213:50,Rolled {0} times in total Miracle Card
17,4,1,270,5:3000213:50,Rolled {0} times in total Miracle Card
18,4,1,290,5:3000213:50,Rolled {0} times in total Miracle Card
19,4,1,310,5:3000213:50,Rolled {0} times in total Miracle Card
20,4,1,330,5:3000213:50,Rolled {0} times in total Miracle Card
21,5,1,350,5:3000213:50,Rolled {0} times in total Miracle Card
22,5,1,370,5:3000213:50,Rolled {0} times in total Miracle Card
23,5,1,390,5:3000213:50,Rolled {0} times in total Miracle Card
24,5,1,410,5:3000213:50,Rolled {0} times in total Miracle Card
25,5,1,430,5:3000213:50,Rolled {0} times in total Miracle Card
26,5,1,450,5:3000213:50,Rolled {0} times in total Miracle Card
27,5,1,470,5:3000213:50,Rolled {0} times in total Miracle Card
28,5,1,490,5:3000213:50,Rolled {0} times in total Miracle Card
29,6,1,510,5:3000213:50,Rolled {0} times in total Miracle Card
30,6,1,530,5:3000213:50,Rolled {0} times in total Miracle Card
31,6,1,550,5:3000213:50,Rolled {0} times in total Miracle Card
32,6,1,570,5:3000213:50,Rolled {0} times in total Miracle Card
33,6,1,590,5:3000213:50,Rolled {0} times in total Miracle Card
34,6,1,610,5:3000213:50,Rolled {0} times in total Miracle Card
35,6,1,630,5:3000213:50,Rolled {0} times in total Miracle Card
36,6,1,650,5:3000213:50,Rolled {0} times in total Miracle Card
