cfg_id,type,minutes,level_low,level_high,weight,reward_str,releation_cfg_id,if_once,desc
101010101,1,180,1,14,500,,0,0,"A big treasure chest containing a large amount of coins is available, open it now?"
101010102,1,180,15,24,500,,0,0,"A big treasure chest containing a large amount of coins is available, open it now?"
101010103,1,180,25,999,200,,0,0,"A big treasure chest containing a large amount of coins is available, open it now?"
101010201,1,180,1,14,250,,0,0,"A big treasure chest containing a large amount of coins is available, open it now?"
101010202,1,180,15,24,500,,0,0,"A big treasure chest containing a large amount of coins is available, open it now?"
101010203,1,180,25,999,500,,0,0,"A big treasure chest containing a large amount of coins is available, open it now?"
101010301,1,360,1,14,50,,0,0,"A big treasure chest containing a large amount of coins is available, open it now?"
101010302,1,360,15,24,500,,0,0,"A big treasure chest containing a large amount of coins is available, open it now?"
101010303,1,360,25,999,500,,0,0,"A big treasure chest containing a large amount of coins is available, open it now?"
102010101,2,60,1,14,500,,0,0,"A great deal of EXP is available, get it now?"
102010102,2,60,15,24,1500,,0,0,"A great deal of EXP is available, get it now?"
102010103,2,60,25,999,500,,0,0,"A great deal of EXP is available, get it now?"
102010201,2,120,1,14,250,,0,0,"A great deal of EXP is available, get it now?"
102010202,2,120,15,24,1000,,0,0,"A great deal of EXP is available, get it now?"
102010203,2,120,25,999,1000,,0,0,"A great deal of EXP is available, get it now?"
102010301,2,120,1,14,0,,0,0,"A great deal of EXP is available, get it now?"
102010302,2,120,15,24,0,,0,0,"A great deal of EXP is available, get it now?"
102010303,2,120,25,999,500,,0,0,"A great deal of EXP is available, get it now?"
103010101,3,30,1,14,1000,,0,0,"Battle rewards available, get it now?"
103010102,3,30,15,24,1500,,0,0,"Battle rewards available, get it now?"
103010103,3,30,25,999,1500,,0,0,"Battle rewards available, get it now?"
103010201,3,60,1,14,250,,0,0,"Battle rewards available, get it now?"
103010202,3,60,15,24,500,,0,0,"Battle rewards available, get it now?"
103010203,3,60,25,999,500,,0,0,"Battle rewards available, get it now?"
104010101,4,30,15,999,400,1:4:1500,0,0,"A mysterious treasure chest, what's inside?"
104010201,4,60,15,999,140,1:4:1500,0,0,"A mysterious treasure chest, what's inside?"
104020101,4,30,15,999,300,1:4:2000,0,0,"A mysterious treasure chest, what's inside?"
104020201,4,60,15,999,100,1:4:2000,0,0,"A mysterious treasure chest, what's inside?"
104030101,4,30,15,999,140,1:4:3000,0,0,"A mysterious treasure chest, what's inside?"
104030201,4,60,15,999,40,1:4:3000,0,0,"A mysterious treasure chest, what's inside?"
104040101,4,30,40,999,400,5:3000007:10,0,0,"A mysterious treasure chest, what's inside?"
104040201,4,60,40,999,140,5:3000007:10,0,0,"A mysterious treasure chest, what's inside?"
104050101,4,30,40,999,300,5:3000007:15,0,0,"A mysterious treasure chest, what's inside?"
104050201,4,60,40,999,100,5:3000007:15,0,0,"A mysterious treasure chest, what's inside?"
104060101,4,30,40,999,140,5:3000007:20,0,0,"A mysterious treasure chest, what's inside?"
104060201,4,60,40,999,40,5:3000007:20,0,0,"A mysterious treasure chest, what's inside?"
104070101,4,30,70,999,400,5:1000004:3,0,0,"A mysterious treasure chest, what's inside?"
104070201,4,60,70,999,140,5:1000004:3,0,0,"A mysterious treasure chest, what's inside?"
104080101,4,30,70,999,300,5:1000004:5,0,0,"A mysterious treasure chest, what's inside?"
104080201,4,60,70,999,100,5:1000004:5,0,0,"A mysterious treasure chest, what's inside?"
104090101,4,30,70,999,140,5:1000004:10,0,0,"A mysterious treasure chest, what's inside?"
104090201,4,60,70,999,40,5:1000004:10,0,0,"A mysterious treasure chest, what's inside?"
104100101,4,30,1,999,240,1:2:20,0,0,"A mysterious treasure chest, what's inside?"
104100201,4,60,1,999,80,1:2:20,0,0,"A mysterious treasure chest, what's inside?"
104110101,4,30,1,999,120,1:2:50,0,0,"A mysterious treasure chest, what's inside?"
104110201,4,60,1,999,40,1:2:50,0,0,"A mysterious treasure chest, what's inside?"
104120101,4,30,1,999,80,1:2:100.,0,1,"A mysterious treasure chest, what's inside?"
104120201,4,60,1,999,40,1:2:100,0,1,"A mysterious treasure chest, what's inside?"
104130101,4,30,60,999,20,5:2000005:10,0,1,"A mysterious treasure chest, what's inside?"
104130201,4,60,60,999,10,5:2000005:10,0,1,"A mysterious treasure chest, what's inside?"
104140101,4,30,1,999,80,5:3000005:1,0,1,"A mysterious treasure chest, what's inside?"
104140201,4,60,1,999,40,5:3000005:1,0,1,"A mysterious treasure chest, what's inside?"
104150101,4,30,1,999,180,,201010101,0,"A mysterious treasure chest, what's inside?"
104150201,4,60,1,999,40,,201010101,0,"A mysterious treasure chest, what's inside?"
104160101,4,30,1,999,180,,202010101,0,"A mysterious treasure chest, what's inside?"
104160201,4,60,1,999,40,,202010101,0,"A mysterious treasure chest, what's inside?"
201010101,1,30,1,999,0,,0,0,"A great deal of EXP is available, get it now?"
202010101,2,30,1,999,0,,0,0,"A great deal of EXP is available, get it now?"
105010101,5,60,1,14,1000,,0,0,"A great deal of EXP is available, get it now?"
105010102,5,60,15,24,1500,,0,0,"A great deal of EXP is available, get it now?"
105010103,5,60,25,999,1500,,0,0,"A great deal of EXP is available, get it now?"
105010201,5,120,1,14,500,,0,0,"A great deal of EXP is available, get it now?"
105010202,5,120,15,24,750,,0,0,"A great deal of EXP is available, get it now?"
105010203,5,120,25,999,750,,0,0,"A great deal of EXP is available, get it now?"
105010301,5,120,1,14,0,,0,0,"A great deal of EXP is available, get it now?"
105010302,5,120,15,24,0,,0,0,"A great deal of EXP is available, get it now?"
105010303,5,120,25,999,50,,0,0,"A great deal of EXP is available, get it now?"
106010101,6,60,1,14,750,,0,0,"A treasure chest containing large amount of Holy Core is available, will you open it now?"
106010102,6,60,15,24,1000,,0,0,"A treasure chest containing large amount of Holy Core is available, will you open it now?"
106010103,6,60,25,999,1000,,0,0,"A treasure chest containing large amount of Holy Core is available, will you open it now?"
106010201,6,120,1,14,250,,0,0,"A treasure chest containing large amount of Holy Core is available, will you open it now?"
106010202,6,120,15,24,500,,0,0,"A treasure chest containing large amount of Holy Core is available, will you open it now?"
106010203,6,120,25,999,500,,0,0,"A treasure chest containing large amount of Holy Core is available, will you open it now?"
106010301,6,120,1,14,0,,0,0,"A treasure chest containing large amount of Holy Core is available, will you open it now?"
106010302,6,120,15,24,0,,0,0,"A treasure chest containing large amount of Holy Core is available, will you open it now?"
106010303,6,120,25,999,50,,0,0,"A treasure chest containing large amount of Holy Core is available, will you open it now?"
