task_id,task_type,charge_cfg_id,task_subtype,newbie_day,task_condition,task_value,reward,combine_zone_activity_active_value,selling_price,name,content,content_param,task_group,task_index,task_id_before
380001,35,0,0,1,7001,1,1:2:100,1,,,Log in for {0} day(s),,0,0,0
380002,35,0,0,1,7003,5,1:2:100,1,,,Fight in Arena {0} time(s),,0,0,0
380003,35,0,0,1,7006,5,1:2:100,1,,,Quick-combat {0} time(s),,0,0,0
380004,35,0,0,1,7004,10,1:2:100,1,,,Craft Gear or Artifacts {0} time(s),,0,0,0
380005,35,0,0,1,7005,3,1:2:100,1,,,Raid Sky Tower {0} time(s),,0,0,0
380006,35,0,0,1,7007,1000,1:2:100,1,,,Consume {0} Diamonds,,0,0,0
380007,35,0,0,1,7008,1,1:2:100,1,,,Send {0} message(s) in the World Channel,,0,0,0
380008,35,1000001,0,1,0,0,5:3000027:5|10:300,1,,,Special Offer,,0,0,0
380009,35,0,0,2,7001,2,1:2:100,1,,,Log in for {0} day(s),,0,0,0
380010,35,0,0,2,7003,10,1:2:100,1,,,Fight in Arena {0} time(s),,0,0,0
380011,35,0,0,2,7006,10,1:2:100,1,,,Quick-combat {0} time(s),,0,0,0
380012,35,0,0,2,7009,2,1:2:100,1,,,Challenge the World Boss {0} time(s),,0,0,0
380013,35,0,0,2,7010,1,1:2:100,1,,,Challenge the Guild Boss {0} time(s),,0,0,0
380014,35,0,0,2,7011,1,1:2:100,1,,,Challenge Star Trial {0} time(s),,0,0,0
380015,35,0,0,2,7012,1,1:2:100,1,,,Challenge the Abyss {0} time(s),,0,0,0
380016,35,1000002,0,2,0,0,5:3000140:20|10:300,1,,,Special Offer,,0,0,0
380017,35,0,0,3,7001,3,1:2:100,1,,,Log in for {0} day(s),,0,0,0
380018,35,0,0,3,7003,15,1:2:100,1,,,Fight in Arena {0} time(s),,0,0,0
380019,35,0,0,3,7006,15,1:2:100,1,,,Quick-combat {0} time(s),,0,0,0
380020,35,0,0,3,7002,10,1:2:100,1,,,Melt {0} pieces of Gear,,0,0,0
380021,35,0,0,3,7013,5,1:2:100,1,,,Adventure {0} times,,0,0,0
380022,35,0,0,3,7005,6,1:2:100,1,,,Raid Sky Tower {0} time(s),,0,0,0
380023,35,0,0,3,7008,5,1:2:100,1,,,Send {0} message(s) in the World Channel,,0,0,0
380024,35,1000003,0,3,0,0,5:3000027:10|10:600,1,,,Special Offer,,0,0,0
380025,35,0,0,4,7001,4,1:2:100,1,,,Log in for {0} day(s),,0,0,0
380026,35,0,0,4,7003,20,1:2:100,1,,,Fight in Arena {0} time(s),,0,0,0
380027,35,0,0,4,7006,20,1:2:100,1,,,Quick-combat {0} time(s),,0,0,0
380028,35,0,0,4,7009,5,1:2:100,1,,,Challenge the World Boss {0} time(s),,0,0,0
380029,35,0,0,4,7010,2,1:2:100,1,,,Challenge the Guild Boss {0} time(s),,0,0,0
380030,35,0,0,4,7011,2,1:2:100,1,,,Challenge Star Trial {0} time(s),,0,0,0
380031,35,0,0,4,7007,2000,1:2:100,1,,,Consume {0} Diamonds,,0,0,0
380032,35,1000004,0,4,0,0,5:3000127:20|10:1200,1,,,Special Offer,,0,0,0
380033,35,0,0,5,7001,5,1:2:100,1,,,Log in for {0} day(s),,0,0,0
380034,35,0,0,5,7003,25,1:2:100,1,,,Fight in Arena {0} time(s),,0,0,0
380035,35,0,0,5,7006,25,1:2:100,1,,,Quick-combat {0} time(s),,0,0,0
380036,35,0,0,5,7002,20,1:2:100,1,,,Melt {0} pieces of Gear,,0,0,0
380037,35,0,0,5,7013,10,1:2:100,1,,,Adventure {0} times,,0,0,0
380038,35,0,0,5,7005,9,1:2:100,1,,,Raid Sky Tower {0} time(s),,0,0,0
380039,35,0,0,5,7012,3,1:2:100,1,,,Challenge the Abyss {0} time(s),,0,0,0
380040,35,1000005,0,5,0,0,5:3000027:30|10:1800,1,,,Special Offer,,0,0,0
380041,35,0,0,6,7001,6,1:2:100,1,,,Log in for {0} day(s),,0,0,0
380042,35,0,0,6,7003,30,1:2:100,1,,,Fight in Arena {0} time(s),,0,0,0
380043,35,0,0,6,7006,30,1:2:100,1,,,Quick-combat {0} time(s),,0,0,0
380044,35,0,0,6,7009,8,1:2:100,1,,,Challenge the World Boss {0} time(s),,0,0,0
380045,35,0,0,6,7010,4,1:2:100,1,,,Challenge the Guild Boss {0} time(s),,0,0,0
380046,35,0,0,6,7011,4,1:2:100,1,,,Challenge Star Trial {0} time(s),,0,0,0
380047,35,0,0,6,7007,3000,1:2:100,1,,,Consume {0} Diamonds,,0,0,0
380048,35,1000006,0,6,0,0,5:3000031:1|10:3000,1,,,Special Offer,,0,0,0
380049,35,0,0,7,7001,7,1:2:100,1,,,Log in for {0} day(s),,0,0,0
380050,35,0,0,7,7003,35,1:2:100,1,,,Fight in Arena {0} time(s),,0,0,0
380051,35,0,0,7,7006,35,1:2:100,1,,,Quick-combat {0} time(s),,0,0,0
380052,35,0,0,7,7002,30,1:2:100,1,,,Melt {0} pieces of Gear,,0,0,0
380053,35,0,0,7,7013,20,1:2:100,1,,,Adventure {0} times,,0,0,0
380054,35,0,0,7,7005,15,1:2:100,1,,,Raid Sky Tower {0} time(s),,0,0,0
380055,35,0,0,7,7007,4000,1:2:100,1,,,Consume {0} Diamonds,,0,0,0
380056,35,1000007,0,7,0,0,5:6000004:1|5:6000007:1|10:6000,1,,,Special Offer,,0,0,0
