country_code,is_eea
AG,0
AI,0
AN,0
AW,0
BB,0
BM,0
BS,0
BZ,0
CR,0
CU,0
DM,0
DO,0
GD,0
GF,0
GP,0
GT,0
HN,0
HT,0
JM,0
KN,0
KY,0
LC,0
MQ,0
MS,0
MX,0
NI,0
PA,0
PR,0
SV,0
TC,0
TT,0
VC,0
VI,0
XB,0
XI,0
XL,0
XM,0
XO,0
BQ,0
CW,0
SX,0
MF,0
ZZ,0
CA,0
US,0
XH,0
AR,0
BO,0
BR,0
CL,0
CO,0
EC,0
FK,0
GS,0
GY,0
PE,0
PY,0
SR,0
UY,0
VE,0
XJ,0
AO,0
BF,0
BI,0
BJ,0
BW,0
CF,0
CG,0
CI,0
CM,0
CV,0
DJ,0
DZ,0
EG,0
EH,0
ER,0
ET,0
GA,0
GH,0
GM,0
GN,0
GQ,0
GW,0
KE,0
KM,0
LR,0
LS,0
LY,0
MA,0
MG,0
ML,0
MR,0
MU,0
MW,0
MZ,0
NA,0
NE,0
NG,0
RE,0
RW,0
SC,0
SD,0
SH,0
SL,0
SN,0
SO,0
ST,0
SZ,0
TD,0
TG,0
TN,0
TZ,0
UG,0
XG,0
YT,0
ZA,0
ZM,0
ZR,0
ZW,0
CD,0
SS,0
AD,0
AL,0
AT,1
BA,0
BE,1
BG,1
BY,0
CH,0
CZ,1
DE,1
DK,1
EE,1
ES,1
FI,1
FO,0
FR,1
FX,1
GB,0
GI,0
GL,0
GR,1
HR,1
HU,1
IE,1
IS,1
IT,1
LI,1
LT,1
LU,1
LV,1
MC,0
MD,0
MK,0
MT,1
NL,1
NO,1
PL,1
PM,0
PT,1
RO,1
RU,0
SE,1
SI,1
SJ,0
SK,1
SM,0
SU,0
UA,0
VA,0
VG,0
XF,0
YU,0
RS,0
ME,0
AX,0
JE,0
IM,0
GG,0
BL,0
XK,0
OE,0
AE,0
AF,0
AM,0
AZ,0
BD,0
BH,0
BN,0
BT,0
CN,0
CY,1
GE,0
HK,0
ID,0
IL,0
IN,0
IO,0
IQ,0
IR,0
JO,0
JP,0
KG,0
KH,0
KP,0
KR,0
KW,0
KZ,0
LA,0
LB,0
LK,0
MM,0
MN,0
MO,0
MV,0
MY,0
NP,0
NT,0
OM,0
PH,0
PK,0
QA,0
SA,0
SG,0
SY,0
TH,0
TJ,0
TM,0
TP,0
TR,0
TW,0
UZ,0
VN,0
XA,0
XD,0
XE,0
YE,0
TL,0
PS,0
AQ,0
AS,0
AU,0
BV,0
CC,0
CK,0
CX,0
FJ,0
FM,0
GU,0
HM,0
KI,0
MH,0
MP,0
NC,0
NF,0
NR,0
NU,0
NZ,0
PF,0
PG,0
PN,0
PW,0
SB,0
TF,0
TK,0
TO,0
TV,0
UM,0
VU,0
WF,0
WS,0
XC,0
XP,0
XN,0
EU,0
