id,president_reward_str,vice_president_reward_str,member_reward_str,war_commander_reward_str,god_of_war_reward_str
1,5:6000001:20|5:2000028:10|1:18:10000,5:6000001:15|5:2000028:10|1:18:8000,5:6000001:12|5:2000028:6|1:18:6000,5:6000001:3|5:2000028:4|1:18:2000,5:6000001:3|5:2000028:4|1:18:2000
2,5:6000001:15|5:2000028:8|1:18:8000,5:6000001:10|5:2000028:8|1:18:6000,5:6000001:8|5:2000028:4|1:18:5000,5:6000001:2|5:2000028:4|1:18:1000,5:6000001:2|5:2000028:4|1:18:1000
3,5:6000001:10|5:2000028:5|1:18:5000,5:6000001:6|5:2000028:5|1:18:4000,5:6000001:5|5:2000028:2|1:18:4000,5:6000001:1|5:2000028:3|1:18:1000,5:6000001:1|5:2000028:3|1:18:1000
4,5:6000001:10|5:2000028:5|1:18:5000,5:6000001:6|5:2000028:5|1:18:4000,5:6000001:5|5:2000028:2|1:18:4000,5:6000001:1|5:2000028:3|1:18:1000,5:6000001:1|5:2000028:3|1:18:1000
5,5:6000001:8|5:2000023:10|1:18:4000,5:6000001:5|5:2000023:10|1:18:3000,5:6000001:4|5:2000023:4|1:18:3000,5:6000001:1|5:2000023:6|1:18:1000,5:6000001:1|5:2000023:6|1:18:1000
6,5:6000001:8|5:2000023:10|1:18:4000,5:6000001:5|5:2000023:10|1:18:3000,5:6000001:4|5:2000023:4|1:18:3000,5:6000001:1|5:2000023:6|1:18:1000,5:6000001:1|5:2000023:6|1:18:1000
7,5:6000001:8|5:2000023:10|1:18:4000,5:6000001:5|5:2000023:10|1:18:3000,5:6000001:4|5:2000023:4|1:18:3000,5:6000001:1|5:2000023:6|1:18:1000,5:6000001:1|5:2000023:6|1:18:1000
8,5:6000001:8|5:2000023:10|1:18:4000,5:6000001:5|5:2000023:10|1:18:3000,5:6000001:4|5:2000023:4|1:18:3000,5:6000001:1|5:2000023:6|1:18:1000,5:6000001:1|5:2000023:6|1:18:1000
9,5:6000001:5|5:2000023:8|1:18:3000,5:6000001:3|5:2000023:8|1:18:2000,5:6000001:3|5:2000023:3|1:18:2000,5:6000001:1|5:2000023:5|1:18:1000,5:6000001:1|5:2000023:5|1:18:1000
10,5:6000001:5|5:2000023:8|1:18:3000,5:6000001:3|5:2000023:8|1:18:2000,5:6000001:3|5:2000023:3|1:18:2000,5:6000001:1|5:2000023:5|1:18:1000,5:6000001:1|5:2000023:5|1:18:1000
11,5:6000001:5|5:2000023:8|1:18:3000,5:6000001:3|5:2000023:8|1:18:2000,5:6000001:3|5:2000023:3|1:18:2000,5:6000001:1|5:2000023:5|1:18:1000,5:6000001:1|5:2000023:5|1:18:1000
12,5:6000001:5|5:2000023:8|1:18:3000,5:6000001:3|5:2000023:8|1:18:2000,5:6000001:3|5:2000023:3|1:18:2000,5:6000001:1|5:2000023:5|1:18:1000,5:6000001:1|5:2000023:5|1:18:1000
13,5:6000001:5|5:2000023:8|1:18:3000,5:6000001:3|5:2000023:8|1:18:2000,5:6000001:3|5:2000023:3|1:18:2000,5:6000001:1|5:2000023:5|1:18:1000,5:6000001:1|5:2000023:5|1:18:1000
14,5:6000001:5|5:2000023:8|1:18:3000,5:6000001:3|5:2000023:8|1:18:2000,5:6000001:3|5:2000023:3|1:18:2000,5:6000001:1|5:2000023:5|1:18:1000,5:6000001:1|5:2000023:5|1:18:1000
15,5:6000001:5|5:2000023:8|1:18:3000,5:6000001:3|5:2000023:8|1:18:2000,5:6000001:3|5:2000023:3|1:18:2000,5:6000001:1|5:2000023:5|1:18:1000,5:6000001:1|5:2000023:5|1:18:1000
16,5:6000001:5|5:2000023:8|1:18:3000,5:6000001:3|5:2000023:8|1:18:2000,5:6000001:3|5:2000023:3|1:18:2000,5:6000001:1|5:2000023:5|1:18:1000,5:6000001:1|5:2000023:5|1:18:1000
-1,5:3000009:10|5:2000023:5|1:18:2000,5:3000009:5|5:2000023:5|1:18:1500,5:3000009:3|5:2000023:3|1:18:1500,5:3000009:2|5:2000023:2|1:18:1000,5:3000009:2|5:2000023:2|1:18:1000
