id,dungeon_id,unlock_level,name,monster_idgroup,role_show,drop
101,1,20,Stage 1,4001|4001|4001|4001|4001|4001,img_dailygradient.png,1:1:200000
102,1,30,Stage 2,4002|4002|4002|4002|4002|4002,img_dailygradient.png,1:1:250000
103,1,40,Stage 3,4003|4003|4003|4003|4003|4003,img_dailygradient.png,1:1:300000
104,1,50,Stage 4,4004|4004|4004|4004|4004|4004,img_dailygradient.png,1:1:350000
105,1,60,Stage 5,4005|4005|4005|4005|4005|4005,img_dailygradient.png,1:1:400000
106,1,70,Stage 6,4006|4006|4006|4006|4006|4006,img_dailygradient.png,1:1:450000
107,1,80,Stage 7,4007|4007|4007|4007|4007|4007,img_dailygradient.png,1:1:500000
108,1,90,Stage 8,4008|4008|4008|4008|4008|4008,img_dailygradient.png,1:1:550000
109,1,100,Stage 9,4009|4009|4009|4009|4009|4009,img_dailygradient.png,1:1:600000
110,1,110,Stage 10,4010|4010|4010|4010|4010|4010,img_dailygradient.png,1:1:650000
201,2,25,Stage 1,4011|4011|4011|4011|4011|4011,img_dailygradient.png,5:2000009:5
202,2,35,Stage 2,4012|4012|4012|4012|4012|4012,img_dailygradient.png,5:2000009:6
203,2,45,Stage 3,4013|4013|4013|4013|4013|4013,img_dailygradient.png,5:2000009:8
204,2,55,Stage 4,4014|4014|4014|4014|4014|4014,img_dailygradient.png,5:2000009:10
205,2,65,Stage 5,4015|4015|4015|4015|4015|4015,img_dailygradient.png,5:2000010:5
206,2,75,Stage 6,4016|4016|4016|4016|4016|4016,img_dailygradient.png,5:2000010:6
207,2,85,Stage 7,4017|4017|4017|4017|4017|4017,img_dailygradient.png,5:2000010:8
208,2,95,Stage 8,4018|4018|4018|4018|4018|4018,img_dailygradient.png,5:2000010:10
209,2,105,Stage 9,4019|4019|4019|4019|4019|4019,img_dailygradient.png,5:2000011:3
210,2,115,Stage 10,4020|4020|4020|4020|4020|4020,img_dailygradient.png,5:2000011:5
301,3,30,Stage 1,-1,img_dailygradient.png,5:3000018:1
302,3,60,Stage 2,-1,img_dailygradient.png,5:3000018:2
303,3,100,Stage 3,-1,img_dailygradient.png,5:3000018:3
401,4,35,Stage 1,4021|4021|4021|4021|4021|4021,img_dailygradient.png,5:3000009:1
402,4,45,Stage 2,4022|4022|4022|4022|4022|4022,img_dailygradient.png,5:3000009:2
403,4,55,Stage 3,4023|4023|4023|4023|4023|4023,img_dailygradient.png,5:3000009:3
404,4,65,Stage 4,4024|4024|4024|4024|4024|4024,img_dailygradient.png,5:3000009:4
405,4,75,Stage 5,4025|4025|4025|4025|4025|4025,img_dailygradient.png,5:3000009:5
406,4,85,Stage 6,4026|4026|4026|4026|4026|4026,img_dailygradient.png,5:3000009:6
407,4,95,Stage 7,4027|4027|4027|4027|4027|4027,img_dailygradient.png,5:3000009:7
408,4,105,Stage 8,4028|4028|4028|4028|4028|4028,img_dailygradient.png,5:3000009:8
409,4,115,Stage 9,4029|4029|4029|4029|4029|4029,img_dailygradient.png,5:3000009:9
410,4,125,Stage 10,4030|4030|4030|4030|4030|4030,img_dailygradient.png,5:3000009:10
