npc_id,name,avatar_path,spine_name,role,quality,star,job,level,skill_id_list,fight_value,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate
4001,Raven Hag,NPC31.png,NPC31,5,1,1,3,20,100301001,5607,6000,300,600,50,0,600,99999999,1000,200,600,600,0,0,0,0,0,0,0,0,0,0
4002,黑暗守望者,NPC39.png,NPC39,5,1,1,2,30,100201001,27796,30000,2400,3600,300,300,3000,99999999,2800,560,3000,3125,0,0,0,0,0,0,0,0,0,0
4003,Oblivion Guadian,NPC32.png,NPC32,5,2,1,1,40,100101001,55494,50000,4000,6000,500,500,5000,99999999,6640,1328,5000,7000,0,0,0,0,0,0,0,0,0,0
4004,Frost Dragon,NPC33.png,NPC33,5,2,1,3,50,100305001,111805,100000,8000,12000,1200,1200,10000,99999999,10960,2192,10000,10000,0,0,0,0,0,0,0,0,0,0
4005,Primodial Dragon,NPC34.png,NPC34,5,2,1,2,60,100202001,180994,150000,12000,18000,2000,2000,15000,99999999,15640,3128,15000,15000,0,0,0,0,0,0,0,0,0,0
4006,Dragon Priest,NPC35.png,NPC35,5,3,1,1,70,100102001,290773,250000,20000,30000,3000,3000,20000,99999999,22693,4016,20000,20000,0,0,0,0,0,0,0,0,0,0
4007,World Devourer,NPC36.png,NPC36,5,3,1,3,80,100304001,464172,300000,32000,48000,5000,5000,30000,99999999,28164,4916,30000,25000,0,0,0,0,0,0,0,0,0,0
4008,Pale Lady,NPC37.png,NPC37,5,3,1,2,90,100205001,712681,450000,40000,60000,9000,9000,40000,99999999,34030,5816,40000,35000,0,0,0,0,0,0,0,0,0,0
4009,Headless Knight,NPC38.png,NPC38,5,4,1,1,100,100207001,1023048,550000,52800,79200,13000,13000,50000,99999999,39897,6716,50000,45000,0,0,0,0,0,0,0,0,0,0
4010,Dwarf Centurion,NPC39.png,NPC39,5,4,1,3,110,100302001,1421271,650000,64000,96000,18000,18000,70000,99999999,45763,7616,70000,55000,0,0,0,0,0,0,0,0,0,0
4011,Kingslayer,NPC40.png,NPC40,5,1,1,2,25,100202001,8521,8000,640,960,50,0,99999999,600,1000,200,300,600,0,0,0,0,0,0,0,0,0,0
4012,Garm,NPC41.png,NPC41,5,1,1,1,35,100204001,61100,50000,4000,6000,500,500,99999999,5000,2800,560,5000,5000,0,0,0,0,0,0,0,0,0,0
