dungeon_id,layer,fight_value_rate,normal_monster_npc_id_list,max_round,desc,name,star_reward_1,star_task_2,star_reward_2,star_task_3,star_reward_3
1,1,1000,101|201|201|301|301|301,30,,1-1,1:2:100,11,1:2:200,18,1:2:300
2,1,1050,101|201|301|401|501|601,30,,1-2,1:2:100,25,1:2:200,4,1:2:300
3,1,1100,301|401|501|601|701|601,30,,1-3,1:2:100,32,1:2:200,6,1:2:300
4,1,1150,501|501|501|401|601|701,30,,1-4,1:2:100,21,1:2:200,20,1:2:300
5,1,1700,901,30,,1-5,1:2:100,14,1:2:200,11,1:2:300
6,2,1200,302|202|202|402|602|402,30,,2-1,1:2:100,29,1:2:200,1,1:2:300
7,2,1250,102|202|302|302|102|302,30,,2-2,1:2:100,15,1:2:200,13,1:2:300
8,2,1300,502|102|102|602|602|602,30,,2-3,1:2:100,24,1:2:200,3,1:2:300
9,2,1350,502|402|402|702|602|702,30,,2-4,1:2:100,28,1:2:200,5,1:2:300
10,2,1800,902,30,,2-5,1:2:100,7,1:2:200,29,1:2:300
11,3,1350,303|403|503|603|703|603,30,,3-1,1:2:100,26,1:2:200,4,1:2:300
12,3,1400,603|503|503|403|703|703,30,,3-2,1:2:100,23,1:2:200,9,1:2:300
13,3,1450,503|103|103|403|703|703,30,,3-3,1:2:100,19,1:2:200,17,1:2:300
14,3,1500,703|703|703|403|503|603,30,,3-4,1:2:100,31,1:2:200,2,1:2:300
15,3,1900,903,30,,3-5,1:2:100,24,1:2:200,30,1:2:300
16,4,1550,304|204|204|104|504|604,30,,4-1,1:2:100,22,1:2:200,10,1:2:300
17,4,1600,604|704|704|404|504|604,30,,4-2,1:2:100,25,1:2:200,12,1:2:300
18,4,1650,504|704|704|404|504|604,30,,4-3,1:2:100,11,1:2:200,28,1:2:300
19,4,1700,404|604|604|704|704|704,30,,4-4,1:2:100,8,1:2:200,34,1:2:300
20,4,2000,904,30,,4-5,1:2:100,29,1:2:200,31,1:2:300
