dungeon_id,main_dungeon_unlock,reward_list
1,400,1:2:1000|5:3000006:1000|1:4:5000
2,400,5:2000011:40|5:2000010:60|5:2000009:200
3,400,5:2000023:5|5:2000025:5|5:2000027:5
4,520,5:1000040:10|5:1000039:20|5:1000038:40
5,640,5:3000027:5|5:3000049:7|5:3000005:10
6,760,5:1000008:4|5:2000007:5|1:2:1000
7,880,5:3000009:10|5:3000008:50|5:3000007:100
8,1000,5:6000001:5|5:3000011:2|1:2:1000
9,1060,5:3000064:5|5:3000049:5|5:2000035:20
10,1120,5:3000027:5|5:3000049:7|5:3000005:10
11,1180,5:2000011:40|5:2000010:60|5:2000009:200
12,1240,5:2000023:5|5:2000030:2|5:2000032:2
13,1300,5:1000041:5|5:1000040:10|5:1000039:20
14,1360,5:3000010:5|5:3000009:6|5:3000008:50
15,1560,5:3000027:5|5:3000049:7|5:3000005:10
16,1760,5:1000009:2|5:2000007:5|1:2:1000
17,1960,5:6000001:5|5:3000011:2|1:2:1000
18,2160,5:3000064:10|5:3000049:5|5:2000035:40
19,2360,5:3000139:4000|5:3000140:10|1:2:1000
20,2560,5:3000027:5|5:3000049:7|5:3000005:10
21,2760,5:2000011:40|5:2000010:60|5:2000009:200
22,2860,5:2000023:5|5:2000030:2|5:2000032:2
23,2960,5:3000139:4000|5:3000140:10|1:2:1000
24,3060,5:3000010:5|5:3000009:6|5:3000008:50
25,3160,5:3000027:10|5:3000049:15|5:3000005:20
