id,level,condition,reward,advanced_reward
1,1,1,5:3000004:5,5:3000005:10|5:2000007:1
2,1,20,5:3000004:5,5:3000005:10|5:2000007:1
3,1,40,5:1000038:5,5:1000040:10|5:2000007:1
4,1,60,5:3000005:1,5:3000005:10|5:2000007:1
5,1,80,5:3000006:500,5:3000006:1000|5:2000007:1
6,1,100,5:3000005:1,5:3000005:10|5:2000007:1
7,1,130,1:3:30000,1:3:100000|5:2000007:1
8,1,160,5:3000007:30,5:3000008:50|5:2000007:1
9,1,190,5:3000008:15,5:3000009:25|5:2000007:1
10,1,220,5:2000010:20,5:2000011:40|5:2000007:1
11,2,250,5:2000005:10,5:2000005:50|5:2000007:1
12,2,280,5:3000011:1,5:3000011:5|5:2000007:1
13,2,340,5:3000011:1,5:3000011:5|5:2000007:1
14,2,400,5:3000064:1,5:3000065:10|5:2000007:1
15,2,460,5:3000064:1,5:3000065:10|5:2000007:1
16,2,520,5:1000008:1,5:1000008:8|5:2000007:1
17,2,580,5:1000008:1,5:1000009:4|5:2000007:1
18,2,640,5:1000008:1,5:1000010:2|5:2000007:1
19,2,700,5:1000008:1,5:1000011:1|5:2000007:1
20,2,760,5:1000008:1,5:1000011:1|5:2000007:1
21,3,820,5:3000066:1,5:3000066:10|5:2000007:1
22,3,880,5:3000065:1,5:3000065:5|5:2000007:1
23,3,940,5:3000065:1,5:3000065:5|5:2000007:1
24,3,1000,5:3000049:1,5:3000049:10|5:2000007:1
25,3,1030,5:3000049:1,5:3000049:10|5:2000007:1
26,3,1060,5:3000049:1,5:3000049:10|5:2000007:1
27,3,1090,5:3000049:1,5:3000049:10|5:2000007:1
28,3,1120,5:3000139:1500,5:3000139:5000|5:2000007:1
29,3,1150,5:3000140:3,5:3000140:20|5:2000007:1
30,3,1180,5:3000140:3,5:3000140:20|5:2000007:1
31,4,1210,5:3000027:1,5:3000027:5|5:2000007:1
32,4,1240,5:3000027:1,5:3000027:5|5:2000007:1
33,4,1270,5:3000027:1,5:3000027:5|5:2000007:1
34,4,1300,5:3000027:1,5:3000027:5|5:2000007:1
35,4,1330,5:3000027:1,5:3000027:5|5:2000007:1
36,4,1360,5:3000027:1,5:3000027:5|5:2000007:1
37,4,1460,5:3000027:1,5:3000027:5|5:2000007:1
38,4,1560,5:3000027:1,5:3000027:5|5:2000007:1
39,4,1660,5:3000027:1,5:3000027:5|5:2000007:1
40,4,1760,5:3000027:1,5:3000027:5|5:2000007:1
41,5,1860,5:3000027:1,5:3000027:5|5:2000007:1
42,5,1960,5:3000027:1,5:3000027:5|5:2000007:1
43,5,2060,5:3000027:1,5:3000027:5|5:2000007:1
44,5,2160,5:3000027:1,5:3000027:5|5:2000007:1
45,5,2260,5:3000027:1,5:3000027:5|5:2000007:1
46,5,2360,5:3000027:1,5:3000027:5|5:2000007:1
47,5,2460,5:3000027:1,5:3000027:5|5:2000007:1
48,5,2560,5:3000027:1,5:3000027:5|5:2000007:1
49,5,2660,5:3000027:1,5:3000027:5|5:2000007:1
50,5,2760,5:3000027:1,5:3000027:5|5:2000007:1
51,6,2860,5:3000027:1,5:3000027:5|5:2000007:1
52,6,2960,5:3000027:1,5:3000027:5|5:2000007:1
53,6,3060,5:3000027:1,5:3000027:5|5:2000007:1
54,6,3160,5:3000027:1,5:3000027:5|5:2000007:1
55,6,3260,5:3000027:1,5:3000027:5|5:2000007:1
56,6,3360,5:3000027:1,5:3000027:5|5:2000007:1
57,6,3460,5:3000027:1,5:3000027:5|5:2000007:1
58,6,3560,5:3000027:1,5:3000027:5|5:2000007:1
59,6,3660,5:3000027:1,5:3000027:5|5:2000007:1
60,6,3760,5:3000027:1,5:3000027:5|5:2000007:1
