hero_cid,index,default_super_common_skill_index,fight_value
1001,0,0|1|1|3|0|0,2409571328
2037,1,0|0|1|2|3|0,5303728128
2039,2,0|0|1|3|1|0,2530713344
2047,3,0|0|1|3|1|0,2068816896
2049,4,0|0|2|2|3|0,3914406400
2050,5,0|1|1|1|2|0,2180751104
2051,6,0|1|1|1|2|0,1846167424
2053,7,0|0|2|2|3|0,3105712384
2054,8,0|1|1|3|1|0,1614843392
2055,9,0|1|1|1|2|0,1337772928
2056,10,0|0|2|2|3|0,3367278592
2057,11,0|0|2|2|3|0,2285099008
2060,12,0|0|2|2|3|0,4218956032
2063,13,0|1|1|3|1|0,1953144448
2065,14,0|0|2|2|3|0,3034744320
2067,15,0|0|2|2|3|0,3155047168
2068,16,0|0|1|1|2|0,2095339264
2069,17,0|0|2|2|3|0,2066281472
2071,18,0|1|1|1|2|0,1521574656
2073,19,0|1|1|1|2|0,1581259520
2074,20,0|1|1|1|2|0,1514812544
2075,21,0|0|2|2|3|0,3187587082
2076,22,0|0|2|2|3|0,2293173248
2077,23,0|0|2|2|3|0,2430926848
2078,24,0|0|2|2|3|0,2197015296
2081,25,0|1|1|3|1|0,1711920768
2082,26,0|1|1|3|1|0,1566274816
2083,27,0|0|1|3|1|0,2907074816
2084,28,0|0|1|3|1|0,2443326976
2086,29,0|0|1|3|1|0,1445906048
