id,precondition,general_award,advanced_award
1,0,5:6000001:1,5:6000001:10|1:2:200
2,135,5:6000001:1,5:6000001:10|5:3000064:1
3,270,5:6000001:1,5:6000001:10|1:2:200
4,405,5:6000001:1,5:6000001:10|5:3000064:1
5,540,5:6000001:2,5:6000001:20|5:3000027:2
6,675,5:2000011:2,5:2000011:10|1:2:300
7,810,5:2000011:2,5:2000011:10|5:3000064:1
8,945,5:2000011:2,5:2000011:10|1:2:300
9,1080,5:2000011:2,5:2000011:10|5:3000064:1
10,1215,5:2000011:8,5:2000011:40|5:3000027:2
11,1350,5:1000006:2,5:1000008:5|1:2:400
12,1485,5:1000006:2,5:1000008:5|5:3000064:1
13,1620,5:1000006:2,5:1000008:5|1:2:400
14,1755,5:1000006:2,5:1000008:5|5:3000064:1
15,1890,5:1000006:5,5:1000008:10|5:3000027:3
16,2025,5:2000022:1,5:3000011:2|1:2:500
17,2160,5:2000022:1,5:3000011:2|5:3000064:2
18,2295,5:2000022:1,5:3000011:2|1:2:500
19,2430,5:2000022:1,5:3000011:2|5:3000064:2
20,2565,5:2000022:2,5:3000011:5|5:3000027:3
