id,vip_require,price,old_price,award
1,0,10,100,1:4:500|1:1:100000
2,1,50,475,1:4:1000|1:1:200000|5:2000006:1
3,2,100,900,1:4:2000|1:1:300000|5:2000006:1
4,3,200,1700,1:4:5000|1:1:500000|5:2000007:1
5,4,500,4000,5:1000005:20|5:3000007:40|5:2000007:1
6,5,800,6000,5:1000005:30|5:3000007:80|5:2000007:1
7,6,1500,10500,5:1000006:30|5:3000007:120|5:2000009:60
8,7,2500,16250,5:1000006:40|5:3000008:80|5:2000010:50
9,8,3500,21000,5:1000007:40|5:3000008:100|5:2000011:40
10,9,5000,27000,5:1000007:50|5:3000008:150|5:3000009:50
11,10,7500,37500,5:1000008:40|7:2024:45|5:2000011:40
12,11,10000,45000,5:1000008:50|7:2024:45|5:3000009:180
13,12,12000,48000,5:1000009:40|7:2024:55|5:3000049:10
14,13,15000,52500,5:1000009:50|5:3000009:90|5:3000049:10
15,14,20000,60000,5:1000010:30|5:3000010:50|5:3000049:10
16,15,30000,90000,5:1000010:40|5:3000010:100|5:3000049:10
17,16,40000,120000,5:1000011:30|5:6000001:150|5:3000027:20
18,17,50000,150000,5:1000011:40|5:6000001:200|5:3000027:30
19,18,60000,200000,5:1000012:30|5:6000001:250|5:3000027:40
20,19,80000,250000,5:1000012:40|5:6000001:300|5:3000027:50
21,20,100000,300000,5:1000013:40|5:6000001:350|5:3000027:100
