cfg_id,charge_cfg_id,name,buy_count,old_price,discount,reward_str,image_show,step
1,0,Rank 1 free package,1,0,1000,5:2000011:40|1:2:99|5:2000006:1|5:6000001:5,img_baoxiang1.png,1
2,12402,Rank 1 special package,3,99.99,900,5:3000027:10|5:2000028:1|5:1000008:5|10:600,img_baoxiang2.png,1
3,12403,Rank 1 luxury package,2,149.99,750,5:3000027:15|5:2000007:5|5:6000001:10|5:3000011:5|10:1500,img_baoxiang3.png,1
4,12404,Rank 1 deluxe package,1,499.99,500,5:3000027:60|5:6000004:1|5:2000008:5|5:1000008:10|10:6000,img_baoxiang4.png,1
5,0,Rank 2 free package,1,0,1000,5:2000011:40|1:2:199|5:2000007:1|5:6000001:10,img_baoxiang1.png,2
6,12405,Rank 2 special package,3,149.99,900,5:3000027:15|5:6000001:10|5:2000007:5|5:3000066:20|10:900,img_baoxiang2.png,2
7,12406,Rank 2 luxury package,2,249.99,750,5:3000027:20|5:2000007:5|5:2000028:5|5:6000001:20|10:1500,img_baoxiang3.png,2
8,12407,Rank 2 deluxe package,1,499.99,500,5:3000027:60|5:6000004:1|5:2000008:10|5:1000008:10|10:6000,img_baoxiang4.png,2
9,0,Rank 3 free package,1,0,1000,5:2000011:40|1:2:299|5:2000008:1|5:6000001:15,img_baoxiang1.png,3
10,12409,Rank 3 special package,3,249.99,900,5:3000027:15|5:2000007:5|5:6000001:20|5:1000008:5|10:900,img_baoxiang2.png,3
11,12410,Rank 3 luxury package,2,499.99,750,5:3000027:20|5:2000007:10|5:6000001:20|5:3000066:20|10:1500,img_baoxiang3.png,3
12,12411,Rank 3 deluxe package,1,999.99,500,5:3000027:60|5:6000004:1|5:2000008:10|5:2000028:5|10:6000,img_baoxiang4.png,3
13,0,Rank 4 Free Pack,1,0,1000,5:2000011:40|1:2:599|5:2000008:1|5:6000001:15,img_baoxiang1.png,4
14,12412,Rank 4 Special Pack,3,249.99,900,5:3000027:15|5:2000008:3|5:3000066:20|5:1000008:5|10:900,img_baoxiang2.png,4
15,12413,Rank 4 Luxury Pack,2,499.99,750,5:3000027:25|5:3000140:5|5:6000008:2|5:3000011:20|10:1500,img_baoxiang3.png,4
16,12414,Rank 4 Supreme Pack,1,999.99,500,5:3000027:60|5:6000007:1|5:2000008:10|5:2000028:5|10:6000,img_baoxiang4.png,4
17,0,Rank 5 Free Pack,1,0,1000,5:3000140:10|1:2:699|5:2000008:1|5:3000139:2000,img_baoxiang1.png,5
18,12415,Rank 5 Special Pack,3,249.99,900,5:3000027:15|5:2000008:3|5:6000008:1|5:3000011:5|10:900,img_baoxiang2.png,5
19,12416,Rank 5 Luxury Pack,2,499.99,750,5:3000027:20|5:2000007:5|5:3000140:20|5:3000139:5000|10:1500,img_baoxiang3.png,5
20,12417,Rank 5 Supreme Pack,1,999.99,500,5:6000015:1|5:6000004:1|5:2000008:10|5:2000028:5|10:6000,img_baoxiang4.png,5
21,0,Rank 6 Free Pack,1,0,1000,5:3000140:10|1:2:699|5:2000008:1|5:3000139:2000,img_baoxiang1.png,6
22,12418,Rank 6 Special Pack,3,249.99,900,5:3000027:15|5:2000008:3|5:6000008:1|5:3000011:5|10:900,img_baoxiang2.png,6
23,12419,Rank 6 Luxury Pack,2,499.99,750,5:3000027:20|5:2000007:5|5:3000140:20|5:3000139:5000|10:1500,img_baoxiang3.png,6
24,12420,Rank 6 Supreme Pack,1,999.99,500,5:3000027:50|5:6000015:1|5:2000008:5|5:2000028:5|10:6000,img_baoxiang4.png,6
