id,level,level_id,zhanling_point,general_award,advanced_award
1,1,1,3000130:100,1:2:100,1:2:100|5:3000027:5
2,1,2,3000130:200,1:2:100,1:2:100|5:1000008:2
3,1,3,3000130:300,1:2:100,1:2:100|5:6000001:5
4,1,4,3000130:400,1:2:100,1:2:100|5:2000006:5
5,1,5,3000130:500,1:2:100,1:2:100|5:3000027:5
6,1,6,3000130:600,1:2:100,1:2:100|5:3000066:2
7,1,7,3000130:700,1:2:100,1:2:100|5:3000011:2
8,1,8,3000130:800,1:2:100,1:2:100|5:1000041:5
9,1,9,3000130:900,1:2:100,1:2:100|5:2000007:2
10,1,10,3000130:1000,1:2:100,1:2:100|5:3000027:5
11,1,11,3000130:1100,1:2:100,1:2:100|5:1000008:2
12,1,12,3000130:1200,1:2:100,1:2:100|5:6000001:5
13,1,13,3000130:1300,1:2:100,1:2:100|5:2000006:5
14,1,14,3000130:1400,1:2:100,1:2:100|1:2:500
15,1,15,3000130:1500,1:2:100,1:2:100|5:3000027:5
16,1,16,3000130:1600,1:2:100,1:2:100|5:3000066:2
17,1,17,3000130:1700,1:2:100,1:2:100|5:3000011:2
18,1,18,3000130:1800,1:2:100,1:2:100|5:1000041:2
19,1,19,3000130:1900,1:2:100,1:2:100|5:2000007:2
20,1,20,3000130:2000,1:2:100,1:2:100|5:3000027:5
21,1,21,3000130:2100,1:2:100,1:2:100|5:1000008:2
22,1,22,3000130:2200,1:2:100,1:2:100|5:6000001:5
23,1,23,3000130:2300,1:2:100,1:2:100|5:2000006:5
24,1,24,3000130:2400,1:2:100,1:2:100|1:2:500
25,1,25,3000130:2500,1:2:100,1:2:100|5:3000027:5
26,1,26,3000130:2600,1:2:100,1:2:100|5:3000066:2
27,1,27,3000130:2700,1:2:100,1:2:100|5:3000011:2
28,1,28,3000130:2800,1:2:100,1:2:100|5:1000041:2
29,1,29,3000130:2900,1:2:100,1:2:100|5:2000007:2
30,1,30,3000130:3000,1:2:100,1:2:100|5:3000027:10
31,2,1,3000131:100,1:2:200,1:2:100|5:3000027:5
32,2,2,3000131:200,1:2:200,1:2:100|5:1000009:2
33,2,3,3000131:300,1:2:200,1:2:100|5:6000001:5
34,2,4,3000131:400,1:2:200,1:2:100|5:2000007:2
35,2,5,3000131:500,1:2:200,1:2:100|5:3000027:5
36,2,6,3000131:600,1:2:200,1:2:100|5:3000066:2
37,2,7,3000131:700,1:2:200,1:2:100|5:3000011:2
38,2,8,3000131:800,1:2:200,1:2:100|5:1000041:5
39,2,9,3000131:900,1:2:200,1:2:100|5:2000007:2
40,2,10,3000131:1000,1:2:200,1:2:100|5:3000027:5
41,2,11,3000131:1100,1:2:200,1:2:100|5:1000008:2
42,2,12,3000131:1200,1:2:200,1:2:100|5:6000001:5
43,2,13,3000131:1300,1:2:200,1:2:100|5:2000007:2
44,2,14,3000131:1400,1:2:200,1:2:100|1:2:888
45,2,15,3000131:1500,1:2:200,1:2:100|5:3000027:5
46,2,16,3000131:1600,1:2:200,1:2:100|5:3000066:2
47,2,17,3000131:1700,1:2:200,1:2:100|5:3000011:2
48,2,18,3000131:1800,1:2:200,1:2:100|5:1000041:2
49,2,19,3000131:1900,1:2:200,1:2:100|5:2000007:2
50,2,20,3000131:2000,1:2:200,1:2:100|5:3000027:5
51,2,21,3000131:2100,1:2:200,1:2:100|5:1000008:2
