cfg_id,thing_type,thing_id,content,link_text,link,gift_purchase_id
1,1,3,Gear Smelt,Go,102,10
2,1,4,Sky-tower,Go,10,9
3,1,4,Sapphire,Go,2|2,0
4,1,6,Arena,Go,3|1,0
5,1,8,Summon Angels,GO,8,0
6,1,9,Arena,Go,3|0,0
7,5,3000006,Guild Shop,Go,2|3,8
8,5,3000006,Quick Combat,Go,4,0
9,7,2001,Exploit Shop,Go,2|4,0
10,7,2002,Summon Angels,GO,8,0
11,7,2003,Summon Angels,GO,8,0
12,7,2004,Summon Angels,GO,8,0
13,7,2005,Summon Angels,GO,8,0
14,7,2006,Summon Angels,GO,8,0
15,7,2007,Summon Angels,GO,8,0
16,7,2008,Summon Angels,GO,8,0
17,7,2009,Summon Angels,GO,8,0
18,7,2010,Summon Angels,GO,8,0
19,7,2011,Summon Angels,GO,8,0
20,7,2012,Summon Angels,GO,8,0
21,7,2014,Summon Angels,GO,8,0
22,7,2015,Summon Angels,GO,8,0
23,7,2016,Glory Shop,Go,2|5,0
24,7,2017,Summon Angels,GO,8,0
25,7,2018,Summon Angels,GO,8,0
26,7,2019,Guild Shop,Go,2|3,0
27,7,2020,Summon Angels,GO,8,0
28,7,2021,Summon Angels,GO,8,0
29,7,2022,Summon Angels,GO,8,0
30,7,2023,Summon Angels,GO,8,0
31,7,2024,VIP Pack,Go,105|8,0
32,7,2025,Summon Angels,GO,8,0
33,7,2026,Summon Angels,GO,8,0
34,7,2027,Summon Angels,GO,8,0
35,7,2028,Summon Angels,GO,8,0
36,7,2029,Summon Angels,GO,8,0
37,7,2030,Summon Angels,GO,8,0
38,7,2031,Summon Angels,GO,8,0
39,7,2032,Summon Angels,GO,8,0
40,7,2033,Summon Angels,GO,8,0
41,7,2034,Summon Angels,GO,8,0
42,7,2035,Summon Angels,GO,8,0
43,7,2036,Summon Angels,GO,8,0
44,5,3000027,Lucky Gift,Go,108|33,19
45,5,3000027,Lucky Gift,Go,108|3,0
46,1,12,Shard bag,Go,7|3,0
47,7,2037,Summon Angels,GO,8,0
48,7,2038,Summon Angels,GO,8,0
49,7,2040,Summon Angels,GO,8,0
50,7,2041,Summon Angels,GO,8,0
51,7,2046,Summon Angels,GO,8,0
52,5,3000031,Special events,Events,,0
53,5,2000011,Weekly Gift,Go,105|10,3
54,5,2000011,Monthly Gift,Go,105|11,0
55,5,2000010,Weekly Gift,Go,105|10,2
56,5,2000010,Monthly Gift,Go,105|11,0
57,5,2000009,Weekly Gift,Go,105|10,1
58,5,2000009,Monthly Gift,Go,105|11,0
59,5,3000030,Special events,Events,,0
60,1,2,Diamond,Go,105|1,0
61,5,3000038,Special events,Events,,0
62,7,2042,Special events,Events,,0
63,7,2048,Summon Angels,GO,8,0
64,7,2049,Summon Angels,GO,8,0
