id,level,need_level_desc_lang
1,25,LEVEL_OPEN__WORLD_BOSS
2,20,LEVEL_OPEN__AREAN
3,20,LEVEL_OPEN__PVE
4,12,
5,50,
6,70,
7,15,
8,10,
9,40,
10,25,
11,1,
12,30,
13,40,
14,70,
15,50,LEVEL_OPEN__HONOR_ARENA
16,1,
17,20,
18,25,
19,1,
20,15,
21,30,
22,50,
23,70,
24,15,
25,1,
26,50,
27,25,
28,35,LEVEL_OPEN_HONOR_ZSZZ
29,60,
30,60,
31,12,LEVEL_OPEN__GUILD_WAR
32,100,
33,1,LEVEL_OPEN__GUILD_APPLE
34,1,LEVEL_OPEN__GUILD_ASPL
35,30,
36,0,
38,60,
39,20,
40,80,
41,80,
42,30,
43,20,
44,60,
45,60,
46,90,
47,1,
48,1,
49,110,
50,200,
51,110,
52,110,
53,110,
54,1,
55,60,
56,60,
57,60,
58,65,
59,60,
60,20,
61,110,
62,20,
63,60,
64,60,
65,10,
66,20,
67,105,
68,105,
69,75,
70,20,
71,120,
72,120,
73,105,
74,20,
75,120,
76,20,
77,20,
78,100,
79,100,
80,60,
81,60,
82,20,
83,20,
84,60,
85,90,
86,95,
87,20,
88,20,
89,99999,
90,99999,
91,99999,
92,99999,
93,99999,
94,60,
95,30,
