id,name,quality_level,desc,condition_type,need_reach_num,tab,reward,show
101,Pro Player,1,"The player reaches Lv. 100, Rank 3",1,300,1,1:2:100,1
201,Shining Star,1,Any SSR+ Angel reaches 5 Stars,2,1,1,1:2:100,1
301,Glorious Star,2,Any UR Angel reaches 5 Stars,3,1,1,1:2:100,1
401,Supreme Star,2,Any UR+ Angel reaches 5 Stars,4,1,1,1:2:100,1
501,Unbreakable,2,Any Angel equips with a whole set of T3 Magic Stone,5,1,1,1:2:100,1
601,Rare Treasure,1,Equip 1 UR+5 Relic,6,1,1,1:2:100,1
602,Valuable Asset,2,Equip 6 UR+5 Relics,6,6,1,1:2:100,1
603,Treasure Trove,3,Equip 12 UR+5 Relics,6,12,1,1:2:100,1
701,Relic Polisher,1,Equip 1 +90 Relic,7,1,1,1:2:100,1
702,Relic Appraiser,2,Equip 6 +90 Relics,7,6,1,1:2:100,1
703,Relic Guru,3,Equip 12 +90 Relics,7,12,1,1:2:100,1
801,Artifact Lover,1,Any Angel equips with 6 10-star Artifacts,8,1,1,1:2:100,1
802,Artifact Collector,2,6 Angels equip with 6 10-star Artifacts,8,6,1,1:2:100,1
803,Artifact Guru,3,12 Angels equip with 6 10-star Artifacts,8,12,1,1:2:100,1
901,Runway Model,1,Any Angel equips with 1 Lv.10 Orange Attires,9,1,1,1:2:100,1
1001,Fashion Icon,2,6 Angels equip with 6 Lv.10 Orange Attires,10,6,1,1:2:100,1
1002,A-list Superstar,3,12 Angels equip with 6 Lv.10 Orange Attires,10,12,1,1:2:100,1
1101,Fashion Diva,1,Unlock 100 Fashions with Red or higher Quality,11,100,1,1:2:100,1
1201,Training Lover,1,Complete any Angel’s Training,12,1,1,1:2:100,1
1202,Training Fanatic,2,Complete 6 Angels’ Training,12,6,1,1:2:100,1
1203,Training Master,3,Complete 12 Angels’ Training,12,12,1,1:2:100,1
1301,Playboy,1,Vow to 1 Angels,13,1,1,1:2:100,1
1302,Lady-killer,2,Vow to 20 Angels,13,20,1,1:2:100,1
1303,Casanova,3,Vow to 50 Angels,13,50,1,1:2:100,1
1401,Gem Collector,1,Equip any Angel with 1 Lv.15 Gems,14,1,1,1:2:100,1
1501,Gem Hoarder,2,Equip 1 Angels with 4 Lv.15 Gems,15,1,1,1:2:100,1
1502,Gem Connoisseur,3,Equip 6 Angels with 4 Lv.15 Gems,15,6,1,1:2:100,1
1601,Wunderkind,1,Main Talent level reaches 30,16,30,1,1:2:100,1
1602,Gifted One,2,Main Talent level reaches 60,16,60,1,1:2:100,1
1603,Natural Talent,3,Main Talent level reaches 85,16,85,1,1:2:100,1
1701,Bling Bling,1,The Spark Value reaches 500,17,500,1,1:2:100,1
1702,Milky Way,2,The Spark Value reaches 1000,17,1000,1,1:2:100,1
1703,Stellar,3,The Spark Value reaches 2000,17,2000,1,1:2:100,1
1801,Elemental Force,2,Collect all the Eudemons of Elements series,18,1,1,1:2:100,1
1901,Ragnarok Witness,2,Collect all the Eudemons of Ragnarok series,19,1,1,1:2:100,1
2001,Great Adventurer,1,Complete 5-star Adventure 50 times,20,50,2,1:2:100,1
2101,Sky Chaser,1,Clear Story 100 of the Sky Tower,21,100,2,1:2:100,1
2102,Sky Conqueror,1,Clear Story 300 of the Sky Tower,21,300,2,1:2:100,1
2103,Cloud Ascender,2,Clear Story 550 of the Sky Tower,21,550,2,1:2:100,1
2201,Shopaholic,1,Purchase 100 times from merchants in the Secret Abyss,22,100,2,1:2:100,1
2301,Abyssal Lord,3,Reach Floor 500 in Fear Abyss,23,500,2,1:2:100,1
2401,Sandman,1,Clear 10 different Angel Dreamlands with 100% completion,24,10,2,1:2:100,1
2501,Stars Conqueror,1,Pass the Star Trial on Hell difficulty,25,1,2,1:2:100,1
2601,Guild Warrior,1,Challenge the Guild Boss 100 times,26,100,2,1:2:100,1
2701,Arena Champion,3,Rank 1st 10 times in the Arena,27,10,3,1:2:100,1
2801,Battle Fanatic,1,Win the Champion in Clash of Titans 1 times,28,1,3,1:2:100,1
2802,Titans Conqueror,2,Win the Champion in Clash of Titans 20 times,28,20,3,1:2:100,1
2803,Gods' Ruler,3,Win the Champion in Clash of Titans 50 times,28,50,3,1:2:100,1
2901,Glory Chaser,1,Win the Champion in Glory Arena 1 times,29,1,3,1:2:100,1
2902,King of Glory,2,Win the Champion in Glory Arena 10 times,29,10,3,1:2:100,1
2903,God of War,3,Win the Champion in Glory Arena 30 times,29,30,3,1:2:100,1
3001,Olympus Lord,1,Obtain the MVP title in Olympus Legend 1 time,30,1,3,1:2:100,1
3002,Olympus Conqueror,2,Obtain the MVP title in Olympus Legend 3 times,30,3,3,1:2:100,1
3003,Olympus Dominator,3,Obtain the MVP title in Olympus Legend 5 times,30,5,3,1:2:100,1
