dungeon_id,boss_monster_npc_id_list,normal_monster_npc_id_list,armor_drop_rate_when_offline_fight,bg_path,name,map_id,reward
1,10002|10001,1001|1002|1003,12,TianZhaoShenShe-Combined,1-1,1,
2,10004|10003,1001|1002|1003,12,TianZhaoShenShe-Combined,1-2,1,
3,10006|10005,1004|1005|1006,12,TianZhaoShenShe-Combined,1-3,1,
4,10008|10007,1004|1005|1006,12,TianZhaoShenShe-Combined,1-4,1,
5,10010|10009,1007|1008|1009|1010,12,TianZhaoShenShe-Combined,1-5,1,1:2:100
6,10012|10011,1007|1008|1009|1010,12,TianZhaoShenShe-Combined,1-6,1,
7,10014|10013,1011|1012|1013|1014,12,TianZhaoShenShe-Combined,1-7,1,
8,10016|10015,1011|1012|1013|1014,12,TianZhaoShenShe-Combined,1-8,1,
9,10018|10017,1015|1016|1017|1018,12,TianZhaoShenShe-Combined,1-9,1,
10,10020|10019,1015|1016|1017|1018,12,TianZhaoShenShe-Combined,1-10,1,5:3000214:500
11,10022|10021,1019|1020|1021|1022,12,TianZhaoShenShe-Combined,1-11,1,
12,10024|10023,1019|1020|1021|1022,12,TianZhaoShenShe-Combined,1-12,1,
13,10026|10025,1023|1024|1025|1026,12,TianZhaoShenShe-Combined,1-13,1,
14,10028|10027,1023|1024|1025|1026,12,TianZhaoShenShe-Combined,1-14,1,
15,10030|10029,1027|1028|1029|1030,12,TianZhaoShenShe-Combined,1-15,1,1:2:100
16,10032|10031,1027|1028|1029|1030,12,TianZhaoShenShe-Combined,1-16,1,
17,10034|10033,1031|1032|1033|1034,12,TianZhaoShenShe-Combined,1-17,1,
18,10036|10035,1031|1032|1033|1034,12,TianZhaoShenShe-Combined,1-18,1,
19,10038|10037,1035|1036,12,TianZhaoShenShe-Combined,1-19,1,
20,10040|10039,1035|1036,12,TianZhaoShenShe-Combined,1-20,1,5:3000214:500
21,10042|10041,1037|1038,12,TianZhaoShenShe-Combined,1-21,1,
22,10044|10043,1037|1038,12,TianZhaoShenShe-Combined,1-22,1,
23,10046|10045,1039|1040,12,TianZhaoShenShe-Combined,1-23,1,
24,10048|10047,1039|1040,12,TianZhaoShenShe-Combined,1-24,1,
25,10050|10049,1041|1042,12,TianZhaoShenShe-Combined,1-25,1,1:2:200
26,10052|10051,1041|1042,12,TianZhaoShenShe-Combined,1-26,1,
27,10054|10053,1043|1044,12,TianZhaoShenShe-Combined,1-27,1,
28,10056|10055,1043|1044,12,TianZhaoShenShe-Combined,1-28,1,
29,10058|10057,1045|1046,12,TianZhaoShenShe-Combined,1-29,1,
30,10060|10059,1045|1046,12,TianZhaoShenShe-Combined,1-30,1,5:3000027:5
31,10062|10061,1047|1048,12,YueDuShenShe,2-1,2,
32,10064|10063,1047|1048,12,YueDuShenShe,2-2,2,
33,10066|10065,1049|1050,12,YueDuShenShe,2-3,2,
34,10068|10067,1049|1050,12,YueDuShenShe,2-4,2,
35,10070|10069,1051|1052,12,YueDuShenShe,2-5,2,1:2:100
36,10072|10071,1051|1052,12,YueDuShenShe,2-6,2,
37,10074|10073,1053|1054,12,YueDuShenShe,2-7,2,
38,10076|10075,1053|1054,12,YueDuShenShe,2-8,2,
39,10078|10077,1055|1056,12,YueDuShenShe,2-9,2,
40,10080|10079,1055|1056,12,YueDuShenShe,2-10,2,5:3000214:500
41,10082|10081,1057|1058,12,YueDuShenShe,2-11,2,
42,10084|10083,1057|1058,12,YueDuShenShe,2-12,2,
43,10086|10085,1059|1060,12,YueDuShenShe,2-13,2,
44,10088|10087,1059|1060,12,YueDuShenShe,2-14,2,
45,10090|10089,1061|1062,12,YueDuShenShe,2-15,2,1:2:100
46,10092|10091,1061|1062,12,YueDuShenShe,2-16,2,
47,10094|10093,1063|1064,12,YueDuShenShe,2-17,2,
48,10096|10095,1063|1064,12,YueDuShenShe,2-18,2,
49,10098|10097,1065|1066,12,YueDuShenShe,2-19,2,
