notice_id,notice_type,notify_level,priority,notify_type,loop_type,time_start,loop_count,time_interval,content
10001,1,0,20,1,0,0,0,0,NOTICE_10001001
10002,1,0,30,1,0,0,0,0,NOTICE_10002001
10003,1,0,20,1,0,0,0,0,NOTICE_10003001
10004,1,0,30,1,0,0,0,0,NOTICE_10004001
10005,1,0,30,1,0,0,0,0,NOTICE_10005001
10006,1,0,30,1,0,0,0,0,NOTICE_10006001
10007,1,0,20,1,0,0,0,0,NOTICE_10007001
10008,1,0,20,1,0,0,0,0,NOTICE_10008001
10009,1,0,30,1,0,0,0,0,NOTICE_10009001
10010,1,0,20,1,0,0,0,0,NOTICE_10010001
10011,1,0,20,1,0,0,0,0,NOTICE_10010002
10012,1,0,30,1,0,0,0,0,NOTICE_10012001
10013,1,0,30,1,0,0,0,0,NOTICE_10010003
10014,1,0,30,1,0,0,0,0,NOTICE_10010004
10015,1,0,30,1,0,0,0,0,NOTICE_10010005
10016,1,0,30,1,0,0,0,0,NOTICE_10010006
10017,1,0,30,1,0,0,0,0,NOTICE_10010007
10018,1,0,30,1,0,0,0,0,NOTICE_10010008
10201,1,12,70,0,0,0,9,60,NOTICE_10201001
10401,1,0,40,1,0,0,4,60,NOTICE_10401001|NOTICE_10401002
10402,1,0,60,1,0,0,9,60,NOTICE_10402001
10403,2,0,60,1,1,75300,3,60,NOTICE_10403001
10501,1,0,40,1,0,0,4,60,NOTICE_10501001
10601,1,40,100,3,0,0,0,0,NOTICE_10601001
30001,2,0,200,1,1,0,-1,1800,NOTICE_30001001|NOTICE_30001003|NOTICE_30001005
