npc_id,name,avatar_path,spine_name,spine_name_shenhe,role,job,level,skill_id_list,skill_id_normal_attack,hp,minatk,maxatk,pdef,mdef,def,defend_ignore_level,hit,dhit,cir,dcir,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed,magic_damage_minus,physc_damage_minus
2001,Heimdall,2051.jpg,HMDE4,MJL0,2,1,1,112002001,0,400,72,88,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0
2002,Clone of Lucifer,2041.jpg,HFSTS0,HFSTS0,2,2,1,110201001,0,1000,80,120,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0
2003,Archangel,NPC48.jpg,NPC48,YXS0,2,3,2,100101001,0,1500,160,200,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0
2004,Soul-eating Witch,2040.jpg,HSZR0,LB_UR_SH,2,1,2,100307001,0,2000,180,220,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0
2005,War Witch,NPC12.jpg,NPC12,WL_SP,2,2,3,112602001,0,2500,200,240,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0
2006,White Bone Lady,2015.jpg,YD0,YXNM1,2,3,3,100210001,0,3000,220,260,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0
2007,Shadow Demon,NPC13.jpg,NPC13,YD0,2,1,4,112801001,0,3500,240,280,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0
2008,Madam Ubume,2008.jpg,SN0,ZRNZ_YS1,2,2,4,100302001,0,4000,260,300,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0
2009,Dragon Girl,NPC27.jpg,NPC27,CE0,2,3,5,112602001,0,4500,280,320,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0
2010,Ghost Rakshasa,2014.jpg,NK0,USER_MAIN_WSJ3,2,1,5,100202001,0,5000,300,340,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0
