id,cid,type,thing,weight
1,1,1,5:3000104:1,50
2,1,1,5:3000105:1,50
3,1,1,5:3000106:1,45
4,1,1,5:3000107:1,25
5,1,1,5:3000108:1,50
6,1,1,5:3000109:1,50
7,1,1,5:3000110:1,45
8,1,1,5:3000111:1,25
9,1,1,1:2:100,40
10,1,1,1:2:200,30
11,1,1,1:4:10000,40
12,1,1,5:3000006:200,35
13,1,1,5:3000006:400,35
14,1,1,1:19:300,50
15,1,1,1:19:500,50
16,1,2,20:1:50,45
17,1,2,20:2:50,45
18,1,2,20:3:50,45
19,1,2,20:4:50,45
20,1,2,20:5:50,45
21,1,2,20:6:50,45
22,1,2,20:7:50,25
23,1,1,5:3000127:1,10
24,1,2,20:15:50,25
25,1,1,5:3000188:5,50
