cfg_id,gift_id,sale,gift_name,gift_type,sale_num,money_type,limit_buy_count,charge_id,price,reward
1,1,0,钻石礼包1,1,1,2,1,0,500,5:3000104:5
2,2,0,钻石礼包2,1,1,2,1,0,600,5:3000105:3
3,3,0,钻石礼包3,1,2,2,1,0,800,5:3000106:2
4,4,0,钻石礼包4,1,3,2,1,0,800,5:3000107:1
5,5,0,钻石礼包5,1,1,2,1,0,500,5:3000108:4
6,6,0,钻石礼包6,1,1,2,1,0,800,5:3000109:3
7,7,0,钻石礼包7,1,2,2,1,0,999,5:3000110:2
8,8,0,钻石礼包8,1,3,2,1,0,999,5:3000111:1
9,9,0,钻石礼包9,1,2,2,1,0,1000,5:3000153:2
10,10,0,钻石礼包10,1,1,2,1,0,100,5:3000127:1
11,11,0,钻石礼包11,1,1,2,1,0,100,5:3000129:500
12,12,0,钻石礼包12,1,1,2,1,0,300,5:3000027:1
13,13,0,充值礼包1,2,2,0,1,30001,0,5:3000104:10|5:3000105:10|10:600
14,14,0,充值礼包2,2,5,0,1,30002,0,5:3000106:2|5:3000107:2|10:600
15,15,0,充值礼包3,2,2,0,1,30003,0,5:3000011:5|5:6000001:10|10:600
16,16,0,充值礼包4,2,5,0,1,30004,0,5:1000011:1|5:1000041:10|10:900
17,17,0,充值礼包5,2,5,0,1,30005,0,5:3000140:15|5:3000139:1000|10:900
18,18,0,充值礼包6,2,5,0,1,30006,0,19:6:1|10:1500
19,19,0,充值礼包7,2,5,0,1,30007,0,19:7:1|10:1500
20,20,0,充值礼包8,2,3,0,1,30008,0,5:3000127:10|5:3000153:2|10:1800
21,21,0,充值礼包9,2,2,0,1,30009,0,5:3000153:5|1:19:10000|10:900
22,22,0,充值礼包10,2,2,0,1,30010,0,5:3000129:9999|1:19:9999|10:600
23,1,8,钻石礼包1,1,1,2,1,0,400,5:3000104:5
24,2,8,钻石礼包2,1,1,2,1,0,480,5:3000105:3
25,3,8,钻石礼包3,1,2,2,1,0,640,5:3000106:2
26,4,8,钻石礼包4,1,3,2,1,0,640,5:3000107:1
27,5,8,钻石礼包5,1,1,2,1,0,400,5:3000108:4
28,6,8,钻石礼包6,1,1,2,1,0,640,5:3000109:3
29,7,8,钻石礼包7,1,2,2,1,0,799,5:3000110:2
30,8,8,钻石礼包8,1,3,2,1,0,799,5:3000111:1
31,9,8,钻石礼包9,1,2,2,1,0,800,5:3000153:2
32,10,8,钻石礼包10,1,1,2,1,0,80,5:3000127:1
33,11,8,钻石礼包11,1,1,2,1,0,80,5:3000129:500
34,12,8,钻石礼包12,1,1,2,1,0,200,5:3000027:1
35,13,8,充值礼包1,2,2,0,1,30011,0,5:3000104:10|5:3000105:10|10:300
36,14,8,充值礼包2,2,5,0,1,30012,0,5:3000106:2|5:3000107:2|10:300
37,15,8,充值礼包3,2,2,0,1,30013,0,5:3000011:5|5:6000001:10|10:300
38,16,8,充值礼包4,2,5,0,1,30014,0,5:1000011:1|5:1000041:10|10:600
