id,cid,type,dialogue
1,1,1,Hey? ! Am I dreaming? ! Are you the human who repaired the portal?
2,1,2,Hey? ! Am I dreaming? ! Are you the human who repaired the portal?
3,1,3,"Ah, it turned out to be you, I was checking the status of Spar spring, please don't disturb me."
4,1,3,"Um? how can I help you? If you want to talk, you can go to my room."
5,1,3,"I have been to this forest many times, but there are still many places that I haven't explored."
6,2,1,"Ah! You are the one who interrupted my nap before! I, Fenrir, must bite off your head today!"
7,2,2,Want me to help you to dig a diamond mine? Then you'd better bring me some delicious steaks when we meet next time.
8,2,2,"Actually, I don't want to sleep every day. If you hire me to work, I might consider it."
9,2,2,"It's you again, do you have any delicious steaks? If so, I will help you take care of the mine!"
10,2,3,Look at this beautifully cut diamond! This is my masterpiece!
11,2,3,"Hmm... I seem to have discovered a new vein, waiting for my good news!"
12,2,3,ZZZ... Ah! It's you! Don't look at me and laugh! I... I didn't slack off and take a nap!
13,2,3,"Oh, it's you! Are you interested in helping me finding a rabbit from the moon? Catch her to me, and I will help you mine new diamond mine."
14,2,3,"Alright, I guess that rabbit Xiyu has spoken ill of me agian. Don't doubt me! I'm not interested in eating her for dinner!"
15,2,3,"You ask me how I am related to that one named Eunice? Her hot figure suits my taste!But she blushes and runs away when she sees me, which makes me very upset!"
16,3,1,"Are you the human before? ! I’m the phoenix Nifitari, nice to meet you!"
17,3,2,You said you want me to help you go to the volcano to mine resources? Hmm... let me think about it.
18,3,3,"It's you, I also go out occasionally, it's too boring to stay in the crater every day."
19,3,3,I plan to let the volcano erupt once! This can bring more valuable resources!
20,3,3,"Unlike other humans who are afraid of fire, you seem to like coming to the volcano!"
21,4,1,Oh... isn't this the human cutie? What a coincidence I met you.
22,4,2,"Well, thank you for your trust in me, but I haven't figured out whether to form an alliance with you."
23,4,2,"It's you, I just finished searching for the materials needed for alchemy. Would you like to take a walk together?"
24,4,2,The technique of using alchemy to synthesize gems is still very difficult. Please give me some more time.
25,4,3,"Today's alchemy is also very successful, and I hope that the output of gems will also satisfy you."
26,4,3,"Ah, you just came to visit me today? This really flattered me…"
27,4,3,"what! It's you, are you interested in accompany me to enjoy the sakura blossoms tonight? Tonight is a good time!"
28,5,1,"Yo, I didn't expect to meet you here, I am Eleanore the Kraken, pleased to meet you."
29,5,2,"I'm restoring the power of Holy core altar, and should be able to help you a lot after completion."
30,5,2,"I understand that you need my help urgently, but I am not ready yet, I am afraid you will have to wait."
31,5,3,"I occasionally come to rest at the waterfall at the foot of the mountain, after all, I still like to stay in the water."
32,5,3,"Ah! You scared me, please don’t bother me when I am praying..."
33,5,3,"Are you here for patrol? Everything is normal at the altar, and today's harvest is very rich."
34,6,1,"Huh? Are you human? ! Except Sister Chang'e, this is the first time I have encountered other human beings!"
35,6,2,"Could it be this way...Ah! It's you, I seem to be lost, can you take me back to the Forest of Eudemons?"
36,6,2,"Uh...Sorry, I just want to try if I can go back to the Guanghan Palace through the portal, but I didn't expect to be connected here..."
37,6,2,"Can you hide me for a while? There is a wolf who calls herself Fenrir, who has been looking for me over the gem mine. I don’t feel good..."
38,6,3,"Master, well... have you fed Fenrir recently? I always feel that she is staring at me with a look of staring at food..."
39,6,3,"Master, how about going to the mine with me? Fenrir and I have discovered a large new vein!"
40,6,3,"Humph! Master, you came right in time. Would you like to see the gem cutting skills that Sister Yukizakura taught me?"
41,6,3,I heard that a Minotaurs Eudemon named Eunice came! I no longer need to worry about Fenrir bullying me now!
42,7,1,"Hey? Did you open this portal? Phew... Great, Eunice is worried that she can't find a way out in the maze..."
43,7,2,"It's you, well... Eunice is about to send the diamond ore to the workshop. If it is convenient, can you help me move it...?"
44,7,2,Um? You are the human you saw last time... It seems that the world is smaller than Eunice imagined...
45,7,2,"Um, please say something later, Eunice has just discovered a large new diamond vein..."
46,7,3,Um... you'd better go to the workshop. I heard that the werewolf Fenrir was so starving that she's gonna catching Xiyu the rabbit for lunch…
47,7,3,"Woo... the cart that carries the diamonds seems to be broken, if you are not in a hurry, could you possibbly fix it for Eunice?"
48,7,3,"Hey? Are you here specifically for Eunice? Don't worry... No matter how complicated the maze is, I can tell the direction..."
49,7,1,What? How did you find this place? Is it Christmas already?
50,7,2,"Ah, it's you. Did you see a box? Um, it's square, and it's wrapped with colorful ribbons."
51,7,2,Aah!!!! Watch out down there! I'm falling!
52,7,2,"Oh no, I lost my sledge again. Lady Xmas will punish me for that... What about you take the punishment for me?"
53,7,3,"Master, my horns are itch again. Can you let me rub on your body?"
54,7,3,"Master, what would you like for Christmas this year? Gingerbread? Chocolates? or... me?"
55,7,3,"It's snowing heavily. What time will you go out tonight, master? The kids are gonna be so excited."
