id,quality,level,reward,title
1,2,0,5:3000179:50,Attire Resonance quality reached {0}
2,3,0,5:3000179:100,Attire Resonance quality reached {0}
3,4,0,5:3000066:5,Attire Resonance quality reached {0}
4,5,0,5:3000066:10,Attire Resonance quality reached {0}
5,0,1,5:3000179:50,Attire Resonance level reached {0}
6,0,2,5:3000179:100,Attire Resonance level reached {0}
7,0,3,5:3000179:150,Attire Resonance level reached {0}
8,0,4,5:3000066:5,Attire Resonance level reached {0}
9,0,5,5:3000066:5,Attire Resonance level reached {0}
10,0,6,5:3000066:5,Attire Resonance level reached {0}
11,0,7,5:3000066:5,Attire Resonance level reached {0}
12,0,8,5:3000066:10,Attire Resonance level reached {0}
13,0,9,5:3000066:10,Attire Resonance level reached {0}
