id,level,reward,title
3,3,5:1000006:5,Gem Resonance level reached {0}
4,4,5:1000007:5,Gem Resonance level reached {0}
5,5,5:1000008:5,Gem Resonance level reached {0}
6,6,5:1000009:4,Gem Resonance level reached {0}
7,7,5:1000010:4,Gem Resonance level reached {0}
8,8,5:1000011:2,Gem Resonance level reached {0}
9,9,5:1000012:2,Gem Resonance level reached {0}
10,10,5:1000013:1,Gem Resonance level reached {0}
11,11,5:1000014:1,Gem Resonance level reached {0}
12,12,5:1000015:1,Gem Resonance level reached {0}
13,13,5:1000016:1,Gem Resonance level reached {0}
14,14,5:1000017:1,Gem Resonance level reached {0}
