level,exp,add_attribute
1,475,1:1:1000|1:2:1000|1:3:1000|1:4:1000
2,700,1:1:1300|1:2:1300|1:3:1300|1:4:1300
3,1075,1:1:1600|1:2:1600|1:3:1600|1:4:1600
4,1600,1:1:1900|1:2:1900|1:3:1900|1:4:1900
5,2275,1:1:2200|1:2:2200|1:3:2200|1:4:2200
6,3100,1:1:2500|1:2:2500|1:3:2500|1:4:2500
7,4075,1:1:2800|1:2:2800|1:3:2800|1:4:2800
8,5200,1:1:3100|1:2:3100|1:3:3100|1:4:3100
9,6475,1:1:3400|1:2:3400|1:3:3400|1:4:3400
10,7900,1:1:3700|1:2:3700|1:3:3700|1:4:3700
11,9475,1:1:4000|1:2:4000|1:3:4000|1:4:4000
12,11200,1:1:4300|1:2:4300|1:3:4300|1:4:4300
13,13075,1:1:4600|1:2:4600|1:3:4600|1:4:4600
14,15100,1:1:4900|1:2:4900|1:3:4900|1:4:4900
15,17275,1:1:5200|1:2:5200|1:3:5200|1:4:5200
16,19600,1:1:5500|1:2:5500|1:3:5500|1:4:5500
17,22075,1:1:5800|1:2:5800|1:3:5800|1:4:5800
18,24700,1:1:6100|1:2:6100|1:3:6100|1:4:6100
19,27475,1:1:6400|1:2:6400|1:3:6400|1:4:6400
20,30400,1:1:6700|1:2:6700|1:3:6700|1:4:6700
21,33475,1:1:7000|1:2:7000|1:3:7000|1:4:7000
22,36700,1:1:7300|1:2:7300|1:3:7300|1:4:7300
23,40075,1:1:7600|1:2:7600|1:3:7600|1:4:7600
24,43600,1:1:7900|1:2:7900|1:3:7900|1:4:7900
25,47275,1:1:8200|1:2:8200|1:3:8200|1:4:8200
26,51100,1:1:8500|1:2:8500|1:3:8500|1:4:8500
27,55075,1:1:8800|1:2:8800|1:3:8800|1:4:8800
28,59200,1:1:9100|1:2:9100|1:3:9100|1:4:9100
29,63475,1:1:9400|1:2:9400|1:3:9400|1:4:9400
30,0,1:1:10000|1:2:10000|1:3:10000|1:4:10000
