level,favor_value,main_attr_str,secondary_attr
1,1000,2:1:2000|2:3:1000,
2,2380,2:1:4000|2:3:2000,
3,3950,2:1:6000|2:3:3000,
4,5660,2:1:8000|2:3:4000,
5,7480,2:1:10000|2:3:5000,
6,9390,2:1:12000|2:3:6000,
7,11390,2:1:14000|2:3:7000,
8,13450,2:1:16000|2:3:8000,
9,15590,2:1:18000|2:3:9000,
10,17780,2:1:20000|2:3:10000,3:1:20|3:2:20|3:4:20
11,20030,2:1:22000|2:3:11000,3:1:20|3:2:20|3:4:20
12,22330,2:1:24000|2:3:12000,3:1:20|3:2:20|3:4:20
13,24680,2:1:26000|2:3:13000,3:1:20|3:2:20|3:4:20
14,27080,2:1:28000|2:3:14000,3:1:20|3:2:20|3:4:20
15,29520,2:1:30000|2:3:15000,3:1:20|3:2:20|3:4:20
16,32000,2:1:32000|2:3:16000,3:1:20|3:2:20|3:4:20
17,34520,2:1:34000|2:3:17000,3:1:20|3:2:20|3:4:20
18,37080,2:1:36000|2:3:18000,3:1:20|3:2:20|3:4:20
19,39670,2:1:38000|2:3:19000,3:1:20|3:2:20|3:4:20
20,42290,2:1:40000|2:3:20000,3:1:40|3:2:40|3:4:40
21,44950,2:1:42000|2:3:21000,3:1:40|3:2:40|3:4:40
22,47650,2:1:44000|2:3:22000,3:1:40|3:2:40|3:4:40
23,50370,2:1:46000|2:3:23000,3:1:40|3:2:40|3:4:40
24,53120,2:1:48000|2:3:24000,3:1:40|3:2:40|3:4:40
25,55900,2:1:50000|2:3:25000,3:1:40|3:2:40|3:4:40
26,58710,2:1:52000|2:3:26000,3:1:40|3:2:40|3:4:40
27,61550,2:1:54000|2:3:27000,3:1:40|3:2:40|3:4:40
28,64410,2:1:56000|2:3:28000,3:1:40|3:2:40|3:4:40
29,67300,2:1:58000|2:3:29000,3:1:40|3:2:40|3:4:40
30,70210,2:1:60000|2:3:30000,3:1:60|3:2:60|3:4:60
31,73150,2:1:62000|2:3:31000,3:1:60|3:2:60|3:4:60
32,76110,2:1:64000|2:3:32000,3:1:60|3:2:60|3:4:60
33,79090,2:1:66000|2:3:33000,3:1:60|3:2:60|3:4:60
34,82100,2:1:68000|2:3:34000,3:1:60|3:2:60|3:4:60
35,85130,2:1:70000|2:3:35000,3:1:60|3:2:60|3:4:60
36,88180,2:1:72000|2:3:36000,3:1:60|3:2:60|3:4:60
37,91250,2:1:74000|2:3:37000,3:1:60|3:2:60|3:4:60
38,94350,2:1:76000|2:3:38000,3:1:60|3:2:60|3:4:60
39,97460,2:1:78000|2:3:39000,3:1:60|3:2:60|3:4:60
40,100590,2:1:80000|2:3:40000,3:1:80|3:2:80|3:4:80
41,103750,2:1:82000|2:3:41000,3:1:80|3:2:80|3:4:80
42,106920,2:1:84000|2:3:42000,3:1:80|3:2:80|3:4:80
43,110110,2:1:86000|2:3:43000,3:1:80|3:2:80|3:4:80
44,113320,2:1:88000|2:3:44000,3:1:80|3:2:80|3:4:80
45,116550,2:1:90000|2:3:45000,3:1:80|3:2:80|3:4:80
46,119800,2:1:92000|2:3:46000,3:1:80|3:2:80|3:4:80
47,123060,2:1:94000|2:3:47000,3:1:80|3:2:80|3:4:80
48,126340,2:1:96000|2:3:48000,3:1:80|3:2:80|3:4:80
49,129640,2:1:98000|2:3:49000,3:1:80|3:2:80|3:4:80
50,132960,2:1:100000|2:3:50000,3:1:100|3:2:100|3:4:100
51,136290,2:1:102000|2:3:51000,3:1:100|3:2:100|3:4:100
52,139640,2:1:104000|2:3:52000,3:1:100|3:2:100|3:4:100
53,143000,2:1:106000|2:3:53000,3:1:100|3:2:100|3:4:100
54,146380,2:1:108000|2:3:54000,3:1:100|3:2:100|3:4:100
55,149780,2:1:110000|2:3:55000,3:1:100|3:2:100|3:4:100
56,153190,2:1:112000|2:3:56000,3:1:100|3:2:100|3:4:100
57,156620,2:1:114000|2:3:57000,3:1:100|3:2:100|3:4:100
58,160060,2:1:116000|2:3:58000,3:1:100|3:2:100|3:4:100
59,163520,2:1:118000|2:3:59000,3:1:100|3:2:100|3:4:100
60,166990,2:1:120000|2:3:60000,3:1:120|3:2:120|3:4:120
61,170480,2:1:122000|2:3:61000,3:1:120|3:2:120|3:4:120
62,173980,2:1:124000|2:3:62000,3:1:120|3:2:120|3:4:120
63,177490,2:1:126000|2:3:63000,3:1:120|3:2:120|3:4:120
64,181020,2:1:128000|2:3:64000,3:1:120|3:2:120|3:4:120
65,184560,2:1:130000|2:3:65000,3:1:120|3:2:120|3:4:120
66,188120,2:1:132000|2:3:66000,3:1:120|3:2:120|3:4:120
67,191690,2:1:134000|2:3:67000,3:1:120|3:2:120|3:4:120
68,195270,2:1:136000|2:3:68000,3:1:120|3:2:120|3:4:120
69,198870,2:1:138000|2:3:69000,3:1:120|3:2:120|3:4:120
70,202480,2:1:140000|2:3:70000,3:1:140|3:2:140|3:4:140
71,206100,2:1:142000|2:3:71000,3:1:140|3:2:140|3:4:140
72,209730,2:1:144000|2:3:72000,3:1:140|3:2:140|3:4:140
73,213380,2:1:146000|2:3:73000,3:1:140|3:2:140|3:4:140
74,217040,2:1:148000|2:3:74000,3:1:140|3:2:140|3:4:140
75,220710,2:1:150000|2:3:75000,3:1:140|3:2:140|3:4:140
76,224400,2:1:152000|2:3:76000,3:1:140|3:2:140|3:4:140
77,228090,2:1:154000|2:3:77000,3:1:140|3:2:140|3:4:140
78,231800,2:1:156000|2:3:78000,3:1:140|3:2:140|3:4:140
79,235520,2:1:158000|2:3:79000,3:1:140|3:2:140|3:4:140
80,239260,2:1:160000|2:3:80000,3:1:160|3:2:160|3:4:160
81,243000,2:1:162000|2:3:81000,3:1:160|3:2:160|3:4:160
82,246760,2:1:164000|2:3:82000,3:1:160|3:2:160|3:4:160
83,250520,2:1:166000|2:3:83000,3:1:160|3:2:160|3:4:160
84,254300,2:1:168000|2:3:84000,3:1:160|3:2:160|3:4:160
85,258090,2:1:170000|2:3:85000,3:1:160|3:2:160|3:4:160
86,261890,2:1:172000|2:3:86000,3:1:160|3:2:160|3:4:160
87,265700,2:1:174000|2:3:87000,3:1:160|3:2:160|3:4:160
88,269530,2:1:176000|2:3:88000,3:1:160|3:2:160|3:4:160
89,273360,2:1:178000|2:3:89000,3:1:160|3:2:160|3:4:160
90,277210,2:1:180000|2:3:90000,3:1:180|3:2:180|3:4:180
91,281060,2:1:182000|2:3:91000,3:1:180|3:2:180|3:4:180
92,284930,2:1:184000|2:3:92000,3:1:180|3:2:180|3:4:180
93,288800,2:1:186000|2:3:93000,3:1:180|3:2:180|3:4:180
94,292690,2:1:188000|2:3:94000,3:1:180|3:2:180|3:4:180
95,296590,2:1:190000|2:3:95000,3:1:180|3:2:180|3:4:180
96,300500,2:1:192000|2:3:96000,3:1:180|3:2:180|3:4:180
97,304410,2:1:194000|2:3:97000,3:1:180|3:2:180|3:4:180
98,308340,2:1:196000|2:3:98000,3:1:180|3:2:180|3:4:180
99,312280,2:1:198000|2:3:99000,3:1:180|3:2:180|3:4:180
100,316230,2:1:200000|2:3:100000,3:1:200|3:2:200|3:4:200
