cfg_id,thing_des,cost_score,limit_count,must_buy,limit_level,need_dungeon_id,lang_tips
1,5:3000049:1,150,1,1,60,580,Unlock buying after clear 17-60 dungeon
2,5:1000007:1,150,1,1,70,1,1
3,5:3000179:20,50,5,1,100,1,1
4,5:3000007:10,50,100,1,40,1,1
5,5:3000008:10,100,100,1,40,1,1
6,1:1:100000,100,100,0,0,1,1
7,1:4:3000,100,100,0,0,1,1
8,7:2015:5,750,1,0,0,0,1
9,7:2002:5,750,1,0,0,0,1
10,7:2003:5,750,1,0,0,0,1
11,7:2004:5,750,1,0,0,0,1
12,7:2011:5,750,1,0,0,0,1
13,7:2014:5,750,1,0,0,0,1
14,7:2036:5,750,1,0,0,0,1
15,7:2028:5,1500,1,0,0,160,Unlock buying after clear 8-30 dungeon
16,7:2013:5,1500,1,0,0,160,Unlock buying after clear 8-30 dungeon
17,7:2024:5,1500,1,0,0,160,Unlock buying after clear 8-30 dungeon
18,7:2026:5,1500,1,0,0,160,Unlock buying after clear 8-30 dungeon
19,7:2038:5,1500,1,0,0,160,Unlock buying after clear 8-30 dungeon
20,7:2040:5,1500,1,0,0,160,Unlock buying after clear 8-30 dungeon
21,7:2041:5,1500,1,0,0,160,Unlock buying after clear 8-30 dungeon
22,7:2046:5,1500,1,0,0,160,Unlock buying after clear 8-30 dungeon
