index,eid,damage_type,content
10001,0,1,{MASTER_NAME} used basic attack and dealt {DAMAGE} DMG to {TARGET_NAME}.
10003,0,2,{MASTER_NAME} used basic attack and dealt {DAMAGE} DMG to {TARGET_NAME}.
10008,0,8,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, but the target evaded."
10010,0,10,{MASTER_NAME}受到了{DAMAGE}伤害反弹。
10011,0,11,{TARGET_NAME} is immune to [{BUFF_NAME}] status caused by {SKILL_NAME} released by {MASTER_NAME}.
2,100101101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
3,100102101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
4,100102201,6,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, the target is stunned"
5,100103101,4,{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME} and heal {DAMAGE} HP.
6,100104101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
7,100105101,5,"Because of {SKILL_NAME}, {MASTER_NAME} enters [Taunted] state. None AoE skills can only target {MASTER_NAME}. DMG is reduced by 60%, lasts 2 rounds"
8,100105111,5,
9,100106101,5,{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}.
10,100107101,5,"Because of {SKILL_NAME}, {MASTER_NAME}'s DMG taken is increased by 50% and DMG is increased by 50%"
11,100107111,5,
12,100108101,5,"Because of {SKILL_NAME}, {TARGET_NAME}'s DEF is increased by 90% and DMG is increased by 30%, lasts 3 rounds"
13,100108111,5,
14,100109101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
15,100109201,6,"Because of {SKILL_NAME}, {TARGET_NAME} [Bleed] and cannot receive healing for 2 rounds"
16,100110101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
17,100201101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
18,100201201,5,"Because of {SKILL_NAME}, {TARGET_NAME} is [Poisoned] and loses 3% HP in each round, lasts 2 rounds"
19,100201211,3,
20,100202101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
21,100203101,5,"Because of {SKILL_NAME}, {MASTER_NAME}'s CRIT is increased by 10%."
22,100203201,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
23,100205101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
24,100205201,6,"Because of {SKILL_NAME}, {TARGET_NAME} receives a Mark and becomes a priority target for 3 rounds"
25,100204101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
26,100204201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is unable to use any skills for 2 rounds"
27,100206101,5,{MASTER_NAME} became invisible and receives only AoE DMG in 2 rounds
28,100207101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
29,100207201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Blinded] and ACC chance is decreased by 70% for 3 rounds"
30,100207211,6,
31,100208101,5,{MASTER_NAME} used {SKILL_NAME} and increased DMG by 70%
32,100208111,5,
33,100209101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, caused {DAMAGE} DMG. {MASTER_NAME} restored {DAMAGE} HP."
34,100210101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
35,100210201,6,"Because of {SKILL_NAME}, {TARGET_NAME}'s {BUFF_NAME} has been dispelled."
36,100301101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
37,100302101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
38,100303101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
39,100303201,6,"Because of {SKILL_NAME}, {TARGET_NAME}'s ATK is decreased by 70%, lasts 2 rounds."
40,100303211,6,
41,100304101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
42,100304201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Frozen] and is unable to perform any actions, lasts 1 round"
43,100305101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
44,100305201,7,{TARGET_NAME} lost {DAMAGE} MP.
45,100305301,7,{TARGET_NAME} restored {DAMAGE} MP.
46,100306101,5,因{SKILL_NAME}效果，{TARGET_NAME}获得【冰甲】，持续2回合。
47,100306111,5,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, P.RES increased by 100%, DMG Reflection increased by 30%, and have 50% chance to [Freeze] the attackers for 2 rounds when receiving a normal attack from attackers."
48,100306121,6,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, P.RES increased by 100%, DMG Reflection increased by 30%, and have 50% chance to [Freeze] the attackers for 2 rounds when receiving a normal attack from attackers."
49,100307101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
50,100308101,0,{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME} again.
51,100309101,5,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, in the next 2 rounds,use 1 MP to absorb 5 DMG."
52,100310101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
53,100310201,6,{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}.
54,110001101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
55,110001201,3,"Because of {SKILL_NAME}, deals an extra {DAMAGE} True DMG to {TARGET_NAME}"
56,110002101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
57,110002201,6,因{SKILL_NAME}效果，{TARGET_NAME}进入了晕眩状态，持续1回合。
58,110101101,4,{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME} and heal {DAMAGE} HP.
59,110101201,5,"Because of {SKILL_NAME}, all debuffs on {TARGET_NAME} have been dispelled."
60,110102101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
61,110102201,6,"Because of {SKILL_NAME}, {TARGET_NAME}'s ATK is decreased by 30%, lasts 1round"
62,110102211,6,
63,110201101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
64,110202101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
65,110202201,5,{MASTER_NAME}进入【狂乱】状态，3回合内免疫一切不利buff，攻击必暴击。
66,110301101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
67,110301201,5,"Because of {SKILL_NAME}, {TARGET_NAME} is [Poisoned] and loses 3% HP in each rounds, lasts 4 rounds"
68,110301211,3,
69,110302101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, caused {DAMAGE} DMG, target with [Poison] effect is stunned for 1 round"
70,110401101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
71,110402101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
72,110402201,4,"Because of {SKILL_NAME}, {TARGET_NAME} restores {DAMAGE} HP."
73,110501101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
74,110501201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Burned] and loses 4% HP in each rounds, lasts 2 rounds"
75,110501211,3,
76,110502101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
77,110601101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
