gift_id,name,gift_type,charge_cfg_id,old_price,buy_count,first_reward,second_reward,vip_reward
1,Neo-zone Special 1,2,2000101,9.99,1,5:3000027:5,1:2:500,10:60
2,Neo-zone Special 2,2,2000102,499.99,1,5:3000027:100,1:2:1500,10:3000
3,Daily discount,1,2000103,9.99,1,5:3000027:5,1:2:1000,10:120
4,Optional package 1,2,2000104,9.99,3,5:3000005:10|5:3000049:5,5:2000010:50|5:2000018:1|1:2:120,10:120
5,Optional package 2,2,2000105,49.99,3,5:3000005:25|5:3000049:15|5:3000027:10,5:2000028:1|5:1000008:10|5:3000011:3|5:6000001:5|5:2000010:100,10:600
6,Optional package 3,2,2000106,199.99,3,5:3000027:35|5:3000049:40|5:3000005:60,5:3000065:6|5:3000066:30|5:3000064:15|1:2:2000|5:3000107:3|5:1000041:10|5:2000011:80,10:3000
7,Optional package 4,2,2000107,499.99,3,5:3000027:70|5:3000049:80,5:2000028:6|5:1000008:20|5:2000011:120|5:1000041:20|5:3000065:10|5:3000107:6|1:2:3500|5:3000011:10|5:6000001:20,10:6000
8,Neo-zone Limit 1,2,2000108,49.99,10,5:3000027:25,5:1000008:10,10:1200
9,Neo-zone Limit 2,2,2000109,399.99,10,5:3000027:70,5:2000028:5,10:6000
10,Neo-zone Limit 3,2,2000110,499.99,3,5:3000140:100,5:3000139:10000,10:6000
11,Neo-zone Limit 4,2,2000111,199.99,3,5:6000004:1,1:2:1000,10:3000
12,Neo-zone Limit 5,2,2000112,199.99,3,5:3000031:1,5:1000013:1,10:3000
