group_id,name,city_id,level,npc_ids
1101,Soldier,1,150,11000001|11000004|11000012|11000002|11000011|11000006
1102,Soldier,1,150,11000010|11000004|11000012|11000007|11000005|11000002
1103,Soldier,1,150,11000001|11000010|11000003|11000008|11000007|11000004
1104,Soldier,1,150,11000003|11000009|11000006|11000007|11000011|11000001
1105,Soldier,1,150,11000008|11000012|11000007|11000003|11000005|11000011
1106,Soldier,1,150,11000007|11000010|11000009|11000001|11000005|11000012
1107,Soldier,1,150,11000003|11000004|11000012|11000001|11000008|11000011
1108,Soldier,1,150,11000001|11000008|11000011|11000006|11000010|11000005
1109,Soldier,1,150,11000002|11000007|11000009|11000012|11000003|11000011
1110,Soldier,1,150,11000010|11000003|11000002|11000009|11000005|11000008
1111,Soldier,1,150,11000008|11000007|11000005|11000006|11000011|11000004
1112,Soldier,1,150,11000011|11000001|11000002|11000004|11000008|11000007
1113,Soldier,1,150,11000012|11000002|11000011|11000010|11000008|11000006
1114,Soldier,1,150,11000010|11000008|11000009|11000006|11000003|11000011
1115,Soldier,1,150,11000005|11000002|11000006|11000004|11000003|11000012
1116,Soldier,1,150,11000005|11000001|11000010|11000007|11000006|11000002
1117,Soldier,1,150,11000007|11000011|11000002|11000005|11000010|11000004
1118,Soldier,1,150,11000008|11000007|11000002|11000006|11000010|11000001
1119,Soldier,1,150,11000007|11000008|11000001|11000011|11000005|11000006
1120,Soldier,1,150,11000010|11000005|11000007|11000003|11000008|11000012
1121,Soldier,1,150,11000001|11000002|11000006|11000010|11000005|11000004
1122,Soldier,1,150,11000007|11000010|11000002|11000003|11000008|11000006
1123,Soldier,1,150,11000003|11000005|11000012|11000011|11000009|11000006
1124,Soldier,1,150,11000011|11000001|11000010|11000012|11000004|11000009
1125,Soldier,1,150,11000002|11000008|11000007|11000004|11000012|11000011
1126,Soldier,1,150,11000006|11000008|11000010|11000005|11000001|11000007
1127,Soldier,1,150,11000001|11000004|11000009|11000003|11000007|11000005
1128,Soldier,1,150,11000007|11000004|11000011|11000001|11000003|11000012
1129,Soldier,1,150,11000012|11000003|11000011|11000010|11000006|11000004
1130,Soldier,1,150,11000003|11000008|11000011|11000005|11000010|11000004
1201,Castellan,1,200,12000017|12000003|12000010|12000011|12000014|12000012
1202,Castellan,1,200,12000001|12000013|12000005|12000012|12000017|12000015
1203,Castellan,1,200,12000005|12000001|12000014|12000002|12000007|12000008
1204,Castellan,1,200,12000012|12000009|12000017|12000015|12000001|12000013
1205,Castellan,1,200,12000007|12000005|12000011|12000017|12000006|12000016
1206,Castellan,1,200,12000004|12000017|12000001|12000012|12000011|12000003
1207,Castellan,1,200,12000001|12000003|12000002|12000010|12000008|12000009
1208,Castellan,1,200,12000003|12000015|12000001|12000006|12000005|12000002
1209,Castellan,1,200,12000005|12000001|12000014|12000011|12000006|12000008
1210,Castellan,1,200,12000007|12000013|12000012|12000004|12000009|12000003
1211,Castellan,1,200,12000006|12000017|12000004|12000013|12000016|12000002
1212,Castellan,1,200,12000016|12000013|12000009|12000011|12000001|12000002
1213,Castellan,1,200,12000009|12000013|12000010|12000003|12000017|12000005
1214,Castellan,1,200,12000006|12000008|12000013|12000017|12000010|12000012
1215,Castellan,1,200,12000012|12000011|12000001|12000017|12000009|12000016
1216,Castellan,1,200,12000015|12000009|12000003|12000004|12000002|12000012
1217,Castellan,1,200,12000008|12000017|12000003|12000006|12000010|12000007
2101,Guard,2,200,21000006|21000013|21000003|21000011|21000015|21000016
2102,Guard,2,200,21000014|21000009|21000006|21000011|21000008|21000004
2103,Guard,2,200,21000010|21000013|21000004|21000014|21000009|21000016
2104,Guard,2,200,21000013|21000012|21000015|21000002|21000004|21000009
2105,Guard,2,200,21000016|21000008|21000013|21000001|21000017|21000006
2106,Guard,2,200,21000008|21000010|21000013|21000011|21000007|21000005
2107,Guard,2,200,21000013|21000001|21000008|21000017|21000016|21000012
2108,Guard,2,200,21000014|21000002|21000006|21000012|21000005|21000007
2109,Guard,2,200,21000013|21000017|21000003|21000011|21000007|21000008
2110,Guard,2,200,21000002|21000016|21000008|21000014|21000015|21000001
2111,Guard,2,200,21000016|21000008|21000017|21000010|21000012|21000015
2112,Guard,2,200,21000010|21000016|21000003|21000013|21000017|21000009
2113,Guard,2,200,21000009|21000010|21000003|21000006|21000001|21000015
2114,Guard,2,200,21000008|21000017|21000015|21000005|21000004|21000001
