step_id,floor,rewards
1,1,
2,1,1:1:10000
3,1,1:2:25
4,1,5:3000006:25
5,1,5:6000001:1
6,1,1:1:10000
7,1,1:2:25
8,1,5:3000006:25
9,1,1:4:100
10,1,5:1000008:1
11,1,1:1:10000
12,1,1:2:25
13,1,5:3000006:25
14,1,1:4:250
15,1,5:2000006:1
16,1,1:1:10000
17,1,1:2:25
18,1,5:3000006:25
19,1,1:4:250
20,1,5:3000011:1
21,1,1:1:10000
22,1,1:2:25
23,1,5:3000006:25
24,1,1:4:250
25,1,5:2000007:1
26,1,1:1:10000
27,1,1:2:25
28,1,5:3000006:25
29,1,1:4:250
30,1,5:3000049:3
31,2,1:4:250
32,2,1:1:10000
33,2,1:2:25
34,2,5:3000006:25
35,2,5:6000001:1
36,2,1:1:10000
37,2,1:2:25
38,2,5:3000006:25
39,2,1:4:100
40,2,5:1000008:1
41,2,1:1:10000
42,2,1:2:25
43,2,5:3000006:25
44,2,1:4:250
45,2,5:2000006:1
46,2,1:1:10000
47,2,1:2:25
48,2,5:3000006:25
49,2,1:4:250
50,2,5:3000011:1
51,2,1:1:10000
52,2,1:2:25
53,2,5:3000006:25
54,2,1:4:250
55,2,5:2000007:1
56,2,1:1:10000
57,2,1:2:25
58,2,5:3000006:25
59,2,1:4:250
60,2,5:3000049:3
61,3,1:4:250
62,3,1:1:10000
63,3,1:2:25
64,3,5:3000006:25
65,3,5:6000001:1
66,3,1:1:10000
67,3,1:2:25
68,3,5:3000006:25
69,3,1:4:100
70,3,5:1000008:1
71,3,1:1:10000
72,3,1:2:25
73,3,5:3000006:25
74,3,1:4:250
75,3,5:2000006:1
76,3,1:1:10000
77,3,1:2:25
78,3,5:3000006:25
79,3,1:4:250
80,3,5:3000011:1
81,3,1:1:10000
82,3,1:2:25
83,3,5:3000006:25
84,3,1:4:250
85,3,5:2000007:1
86,3,1:1:10000
87,3,1:2:25
88,3,5:3000006:25
89,3,1:4:250
90,3,5:3000027:3
91,4,1:4:250
92,4,1:1:10000
93,4,1:2:25
94,4,5:3000006:25
95,4,5:6000001:1
96,4,1:1:10000
97,4,1:2:25
98,4,5:3000006:25
99,4,1:4:100
100,4,5:1000008:1
101,4,1:1:10000
102,4,1:2:25
103,4,5:3000006:25
104,4,1:4:250
105,4,5:2000006:1
106,4,1:1:10000
107,4,1:2:25
108,4,5:3000006:25
109,4,1:4:250
110,4,5:3000011:1
111,4,1:1:10000
112,4,1:2:25
113,4,5:3000006:25
114,4,1:4:250
115,4,5:2000007:1
116,4,1:1:10000
117,4,1:2:25
118,4,5:3000006:25
119,4,1:4:250
120,4,5:3000027:3
121,5,1:4:250
122,5,1:1:10000
123,5,1:2:25
124,5,5:3000006:25
125,5,5:6000001:1
126,5,1:1:10000
127,5,1:2:25
128,5,5:3000006:25
129,5,1:4:100
130,5,5:1000008:1
131,5,1:1:10000
132,5,1:2:25
133,5,5:3000006:25
134,5,1:4:250
135,5,5:2000006:1
136,5,1:1:10000
137,5,1:2:25
138,5,5:3000006:25
139,5,1:4:250
140,5,5:3000011:1
141,5,1:1:10000
142,5,1:2:25
143,5,5:3000006:25
144,5,1:4:250
145,5,5:2000007:1
146,5,1:1:10000
147,5,1:2:25
148,5,5:3000006:25
149,5,1:4:250
150,5,5:6000009:5
151,6,1:4:250
152,6,1:1:10000
153,6,1:2:25
154,6,5:3000006:25
155,6,5:6000001:1
156,6,1:1:10000
157,6,1:2:25
158,6,5:3000006:25
159,6,1:4:100
160,6,5:1000008:1
161,6,1:1:10000
162,6,1:2:25
163,6,5:3000006:25
164,6,1:4:250
165,6,5:2000006:1
166,6,1:1:10000
167,6,1:2:25
168,6,5:3000006:25
169,6,1:4:250
170,6,5:3000011:1
171,6,1:1:10000
172,6,1:2:25
173,6,5:3000006:25
174,6,1:4:250
175,6,5:2000007:1
176,6,1:1:10000
177,6,1:2:25
178,6,5:3000006:25
179,6,1:4:250
180,6,5:6000009:5
181,7,1:4:250
182,7,1:1:10000
183,7,1:2:25
184,7,5:3000006:25
185,7,5:6000001:1
186,7,1:1:10000
187,7,1:2:25
188,7,5:3000006:25
189,7,1:4:100
190,7,5:1000008:1
191,7,1:1:10000
192,7,1:2:25
193,7,5:3000006:25
194,7,1:4:250
195,7,5:2000006:1
196,7,1:1:10000
197,7,1:2:25
198,7,5:3000006:25
199,7,1:4:250
200,7,5:3000011:1
201,7,1:1:10000
202,7,1:2:25
203,7,5:3000006:25
204,7,1:4:250
205,7,5:2000007:1
206,7,1:1:10000
207,7,1:2:25
208,7,5:3000006:25
209,7,1:4:250
210,7,5:6000009:5
211,8,1:4:250
212,8,1:1:10000
213,8,1:2:25
214,8,5:3000006:25
215,8,5:6000001:1
216,8,1:1:10000
217,8,1:2:25
218,8,5:3000006:25
219,8,1:4:100
220,8,5:1000008:1
221,8,1:1:10000
222,8,1:2:25
223,8,5:3000006:25
224,8,1:4:250
225,8,5:2000006:1
226,8,1:1:10000
227,8,1:2:25
228,8,5:3000006:25
229,8,1:4:250
230,8,5:3000011:1
231,8,1:1:10000
232,8,1:2:25
233,8,5:3000006:25
234,8,1:4:250
235,8,5:2000007:1
236,8,1:1:10000
237,8,1:2:25
238,8,5:3000006:25
239,8,1:4:250
240,8,5:6000004:1
